score,content,sentimen
5,terlalu banyak anak anak,bukan keluhan
"5,""gamenya seru, tapi yang tidak seru ketemu drak sistem"",bukan keluhan"
"5,""GAME PERUSAK FAIR PLAY MOBA PALING BRUTAL, OTAK MATCH MARKING CURANGNYA OVER LOAD , GAME TIDAK ADA ETIKA BERKOMITEN. PERMBERI SARAN AKAN DI INCAR DENGAN DARK SYSTEM. MOBA TIDAK BERKWALITAS DALAM PERMAINAN KECURANGAN DEMI KECURANGAN SYSTEM ADA DI MOBA INI. GAME MOBA PENUH PLAYER TOXIC & JOKI"",bukan keluhan"
5,seru banyak hero di game ini,bukan keluhan
5,game nya sangat seru dan memuaskan apa lagi main bareng temen tapi yg kurang terkadang gak adil,bukan keluhan
5,sangat bagus gamenya,bukan keluhan
5,bagus,bukan keluhan
5,bagus banget,bukan keluhan
5,game ini bagus bgttt,bukan keluhan
5,baik,bukan keluhan
5,gm bagus,bukan keluhan
5,game nya keren player ramah semua,bukan keluhan
5,game nya sangat bagus walaupun gk ada rumah🗿,bukan keluhan
5,bagus,bukan keluhan
5,mantap,bukan keluhan
5,gamee nyaa manteppp bangettt anjjjjj,bukan keluhan
5,oiii moonton knpaa ml gua ngstuk di loading,bukan keluhan
5,game bagus monton baik semogan yang main banyak,bukan keluhan
5,bagus,bukan keluhan
5,kren apa lagi klau ada skin gratis wkwkw,bukan keluhan
5,bagus,bukan keluhan
5,permainan seru,bukan keluhan
5,seru game nya,bukan keluhan
5,aku raja carry,bukan keluhan
5,seru ajaa ga bikin bosen,bukan keluhan
"5,""Gacorr ni game ,Bagus yang lagi stres main ini"",bukan keluhan"
5,seru,bukan keluhan
5,I Like It 👍👍👍👍,bukan keluhan
"5,""perbaiki konten"""" nya"",bukan keluhan"
5,kerenn,bukan keluhan
5,gem nya bagus,bukan keluhan
5,game nya bagus dan grafic nya lumayan,bukan keluhan
5,rating nya bagus,bukan keluhan
5,makasih moonton aku bisa main di adven server👍👍🤩🤩🤩,bukan keluhan
5,game Yang Bagus Dan Mantap,bukan keluhan
5,bagus lah,bukan keluhan
5,game stres anjg wifi full di dalem game merah gajelas,bukan keluhan
5,😁👍,bukan keluhan
5,gem nya bsgus,bukan keluhan
5,game bgus,bukan keluhan
5,moonton kalau aku main enggak dikasih tim yang bagus aku bakal kasih bintang 1,bukan keluhan
5,gem ya bagus tapi setiap gua main 4 kali gua menang dan setelah gua main 4 kali gua di kasih derak sistem yang pas di gem 5 tolong lah di benerin sistem ya monton😭,bukan keluhan
5,sorry ya min yg tadi bercanda emosi gw gk tercontrol,bukan keluhan
5,tolong kasih tim yg jago dong Monton pliss monton,bukan keluhan
5,asik sekali,bukan keluhan
5,saya sangat suka dengan geme mobile legends,bukan keluhan
5,game ini bagus tapi susah banget untuk manangin game ini,bukan keluhan
5,Bagus bagus aja,bukan keluhan
5,game ini sangat seru,bukan keluhan
5,game nya bagus kok tapi tolong bug nya masih ada 😅 🗿🗿,bukan keluhan
5,game ini sangat seru,bukan keluhan
5,bagus banget Moonton 👍,bukan keluhan
5,bagus,bukan keluhan
5,ga jelassss gw kalah mulu padahal gw maen nya enak monton ga beneeeerrr losseeee treeeeeekkkkkkkkkkkkkkkk montooonn tolong lahhhhh woooooooooiiiiiiiiii,bukan keluhan
5,gem yang ya bagus tapi kadang ada bag,bukan keluhan
"5,""saya sangat suka sama game ini heronya bagus² skin nya juga, dan aku lebih suka di Hero mage Nana, Xavier, Angela suport, Kadita mage dan Aurora mage. dan yang paling saya suka itu banyak skin gratis nya juga sangat menarik ☺️"",bukan keluhan"
"5,""sinyalnya diperbaiki,di hp sinyale penuh tapi di game ngelag parah...........hadeh......apalagi pas mau war langsung ngelag parah parah"",bukan keluhan"
5,geam Buri banyak drag sistem jangan download geam ini geam haram,bukan keluhan
"5,""gak pernah di kasih menang, sekalinya menang kalah 5 kali sakit hati tau,monton tolong perbaiki game anda.bukanya saya bot tapi team yg di berikan itu bot semua plis perbaiki game anda saya sudah stres"",bukan keluhan"
5,mantapp,bukan keluhan
5,mantapp,bukan keluhan
5,GAME SANGAT BAGUS,bukan keluhan
5,mantap,bukan keluhan
5,bagus bgt,bukan keluhan
5,game terbaik sepanjang masa ff mana bisa nyaingin,bukan keluhan
5,menghibur,bukan keluhan
5,sangat baguss,bukan keluhan
5,seruuuu,bukan keluhan
5,Bagus banget bisa mabar terus RANK kenalan ama temen main bareng!?,bukan keluhan
5,baguss tapi banya dark sistem,bukan keluhan
5,menghibur dan sere,bukan keluhan
5,ramah,bukan keluhan
5,bagus tapi ada bug ga bisa namab petemanan padahal udh di hapus semuwa peteman yh tetap ga bisa nabah petemana,bukan keluhan
5,game bagus tapi ad binatangnya,bukan keluhan
5,players di game ini Tidak mematuhi aturan tentang role hero atau lane hero dan melakukan feed secara sengaja,bukan keluhan
5,Iyah,bukan keluhan
"5,""tolong developer plisssssssssssssss ini saya gk naik"""" rank nya sistem pembagian role makin kacau"",bukan keluhan"
5,permainan sangat bagus saya sangat menyukai nya,bukan keluhan
5,game nya bagus dan kasih menang,bukan keluhan
