NO;Tanggal;Kurs;
1;8/30/2024 12:00:00 AM;15473;
2;8/29/2024 12:00:00 AM;15409;
3;8/28/2024 12:00:00 AM;15476;
4;8/27/2024 12:00:00 AM;15509;
5;8/26/2024 12:00:00 AM;15380;
6;8/23/2024 12:00:00 AM;15554;
7;8/22/2024 12:00:00 AM;15579;
8;8/21/2024 12:00:00 AM;15456;
9;8/20/2024 12:00:00 AM;15480;
10;8/19/2024 12:00:00 AM;15591;
11;8/16/2024 12:00:00 AM;15716;
12;8/15/2024 12:00:00 AM;15687;
13;8/14/2024 12:00:00 AM;15691;
14;8/13/2024 12:00:00 AM;15885;
15;8/12/2024 12:00:00 AM;15963;
16;8/9/2024 12:00:00 AM;15914;
17;8/8/2024 12:00:00 AM;15952;
18;8/7/2024 12:00:00 AM;16100;
19;8/6/2024 12:00:00 AM;16183;
20;8/5/2024 12:00:00 AM;16154;
21;8/2/2024 12:00:00 AM;16234;
22;8/1/2024 12:00:00 AM;16243;
23;7/31/2024 12:00:00 AM;16294;
24;7/30/2024 12:00:00 AM;16320;
25;7/29/2024 12:00:00 AM;16286;
26;7/26/2024 12:00:00 AM;16294;
27;7/25/2024 12:00:00 AM;16268;
28;7/24/2024 12:00:00 AM;16224;
29;7/23/2024 12:00:00 AM;16204;
30;7/22/2024 12:00:00 AM;16228;
31;7/19/2024 12:00:00 AM;16199;
32;7/18/2024 12:00:00 AM;16160;
33;7/17/2024 12:00:00 AM;16129;
34;7/16/2024 12:00:00 AM;16203;
35;7/15/2024 12:00:00 AM;16174;
36;7/12/2024 12:00:00 AM;16154;
37;7/11/2024 12:00:00 AM;16200;
38;7/10/2024 12:00:00 AM;16256;
39;7/9/2024 12:00:00 AM;16281;
40;7/8/2024 12:00:00 AM;16265;
41;7/5/2024 12:00:00 AM;16312;
42;7/4/2024 12:00:00 AM;16341;
43;7/3/2024 12:00:00 AM;16387;
44;7/2/2024 12:00:00 AM;16384;
45;7/1/2024 12:00:00 AM;16355;
