Kurs Jual,Kurs Beli,Tanggal
10500.62,10392.73,2024-12-13
10540.4,10433.47,2024-12-12
10527.5,10420.68,2024-12-11
10602.84,10496.63,2024-12-10
10611.79,10505.5,2024-12-09
10663.99,10555.77,2024-12-07
10663.99,10555.77,2024-12-06
10666.3,10556.66,2024-12-05
10687.21,10578.76,2024-12-04
10640.03,10531.36,2024-12-03
10625.65,10516.41,2024-12-02
10506.31,10399.71,2024-11-29
10394.53,10288.43,2024-11-28
10316.63,10213.32,2024-11-26
10334.49,10230.99,2024-11-25
10343.93,10238.36,2024-11-22
10239.84,10135.35,2024-11-21
10287.41,10183.07,2024-11-20
10305.56,10202.36,2024-11-19
10249.99,10147.35,2024-11-18
10237.03,10134.52,2024-11-15
10225.59,10123.19,2024-11-14
10304.15,10200.97,2024-11-13
10255.41,10152.7,2024-11-12
10318.65,10215.31,2024-11-11
10289.5,10186.46,2024-11-08
10341.17,10237.61,2024-11-07
10405.75,10301.53,2024-11-06
10403.36,10296.47,2024-11-05
10358.99,10255.25,2024-11-04
10367.52,10263.7,2024-11-01
10311.52,10208.26,2024-10-31
10341.34,10237.78,2024-10-30
10309.56,10206.31,2024-10-29
10337.05,10233.52,2024-10-28
10301.04,10197.86,2024-10-25
10302.62,10199.44,2024-10-24
10356.16,10252.43,2024-10-23
10373.31,10269.4,2024-10-22
10356.7,10251.6,2024-10-21
10412.38,10305.33,2024-10-18
10447.43,10342.78,2024-10-17
10475.62,10370.7,2024-10-16
10484.01,10378.99,2024-10-15
10544.5,10438.87,2024-10-14
10559.85,10454.08,2024-10-11
10559.47,10453.7,2024-10-10
10671.01,10564.13,2024-10-09
10628.18,10521.72,2024-10-08
10644.21,10537.57,2024-10-07
10563.99,10457.45,2024-10-04
10636.71,10530.13,2024-10-03
10598.61,10492.43,2024-10-02
10688.01,10580.91,2024-10-01
10620.38,10512.5,2024-09-30
10513.62,10408.29,2024-09-27
10539.55,10433.95,2024-09-26
10562.62,10456.8,2024-09-25
10631.58,10525.07,2024-09-24
10562.75,10456.92,2024-09-23
10782.87,10674.83,2024-09-20
10873.1,10764.15,2024-09-19
10960.39,10850.56,2024-09-18
10983.27,10873.22,2024-09-17
10866.71,10757.83,2024-09-13
10961.64,10851.02,2024-09-12
10806.24,10697.96,2024-09-11
10847.06,10738.38,2024-09-10
10842.07,10733.43,2024-09-09
10783.35,10675.31,2024-09-06
10736.17,10628.61,2024-09-05
10710.22,10602.93,2024-09-04
10658.53,10551.75,2024-09-03
10731.79,10621.35,2024-09-02
10702.92,10595.68,2024-08-30
10759.12,10651.32,2024-08-29
10748.6,10640.91,2024-08-28
10739.18,10631.58,2024-08-27
10717.7,10610.33,2024-08-26
10776.31,10668.34,2024-08-23
10630.5,10524.0,2024-08-22
10620.84,10514.44,2024-08-21
10718.21,10610.84,2024-08-20
10598.26,10492.1,2024-08-19
10707.3,10600.05,2024-08-16
10699.86,10592.68,2024-08-15
10799.91,10691.73,2024-08-14
10896.43,10787.27,2024-08-13
10857.82,10749.05,2024-08-12
10992.7,10879.59,2024-08-09
11022.14,10911.72,2024-08-08
11190.26,11077.38,2024-08-07
11319.74,11203.98,2024-08-06
10929.24,10819.77,2024-08-05
10893.71,10783.87,2024-08-02
10863.39,10753.15,2024-08-01
10593.3,10487.21,2024-07-31
10654.49,10547.79,2024-07-30
10640.33,10533.77,2024-07-29
10737.78,10628.84,2024-07-26
10547.33,10440.36,2024-07-25
10436.44,10330.61,2024-07-24
10402.56,10298.4,2024-07-23
10344.39,10240.8,2024-07-22
10393.45,10288.05,2024-07-19
10323.3,10218.62,2024-07-18
10277.07,10172.89,2024-07-17
10295.71,10191.33,2024-07-16
10196.44,10091.81,2024-07-15
10074.88,9972.78,2024-07-12
10117.22,10015.93,2024-07-11
10170.57,10066.23,2024-07-10
10159.94,10056.97,2024-07-09
10198.17,10096.07,2024-07-08
10183.36,10080.16,2024-07-05
10180.47,10076.05,2024-07-04
10185.53,10083.55,2024-07-03
10206.01,10103.83,2024-07-02
10239.88,10137.36,2024-07-01
10279.74,10175.56,2024-06-28
10330.33,10226.27,2024-06-27
10320.96,10216.34,2024-06-26
10340.75,10237.22,2024-06-25
10417.77,10313.46,2024-06-24
10426.55,10320.85,2024-06-21
10427.13,10322.72,2024-06-20
10431.61,10325.85,2024-06-19
10407.88,10302.35,2024-06-14
10415.57,10309.96,2024-06-13
10410.99,10304.11,2024-06-12
10426.35,10320.63,2024-06-11
10484.43,10378.1,2024-06-10
10470.66,10363.15,2024-06-07
