Kurs Jual,Kurs Beli,Tanggal
10500.62,10392.73,12-13-2024
10540.4,10433.47,12-12-2024
10527.5,10420.68,11-12-2024
10602.84,10496.63,10-12-2024
10611.79,10505.5,9-12-2024
10663.99,10555.77,7-12-2024
10663.99,10555.77,6-12-2024
10666.3,10556.66,5-12-2024
10687.21,10578.76,4-12-2024
10640.03,10531.36,3-12-2024
10625.65,10516.41,2-12-2024
10506.31,10399.71,11-29-2024
10394.53,10288.43,11-28-2024
10316.63,10213.32,11-26-2024
10334.49,10230.99,11-25-2024
10343.93,10238.36,11-22-2024
10239.84,10135.35,11-21-2024
10287.41,10183.07,11-20-2024
10305.56,10202.36,11-19-2024
10249.99,10147.35,11-18-2024
10237.03,10134.52,11-15-2024
10225.59,10123.19,11-14-2024
10304.15,10200.97,11-13-2024
10255.41,10152.7,12-11-2024
10318.65,10215.31,11-11-2024
10289.5,10186.46,8-11-2024
10341.17,10237.61,7-11-2024
10405.75,10301.53,6-11-2024
10403.36,10296.47,5-11-2024
10358.99,10255.25,4-11-2024
10367.52,10263.7,1-11-2024
10311.52,10208.26,10-31-2024
10341.34,10237.78,10-30-2024
10309.56,10206.31,10-29-2024
10337.05,10233.52,10-28-2024
10301.04,10197.86,10-25-2024
10302.62,10199.44,10-24-2024
10356.16,10252.43,10-23-2024
10373.31,10269.4,10-22-2024
10356.7,10251.6,10-21-2024
10412.38,10305.33,10-18-2024
10447.43,10342.78,10-17-2024
10475.62,10370.7,10-16-2024
10484.01,10378.99,10-15-2024
10544.5,10438.87,10-14-2024
10559.85,10454.08,11-10-2024
10559.47,10453.7,10-10-2024
10671.01,10564.13,9-10-2024
10628.18,10521.72,8-10-2024
10644.21,10537.57,7-10-2024
10563.99,10457.45,4-10-2024
10636.71,10530.13,3-10-2024
10598.61,10492.43,2-10-2024
10688.01,10580.91,1-10-2024
10620.38,10512.5,9-30-2024
10513.62,10408.29,9-27-2024
10539.55,10433.95,9-26-2024
10562.62,10456.8,9-25-2024
10631.58,10525.07,9-24-2024
10562.75,10456.92,9-23-2024
10782.87,10674.83,9-20-2024
10873.1,10764.15,9-19-2024
10960.39,10850.56,9-18-2024
10983.27,10873.22,9-17-2024
10866.71,10757.83,9-13-2024
10961.64,10851.02,12-9-2024
10806.24,10697.96,11-9-2024
10847.06,10738.38,10-9-2024
10842.07,10733.43,9-9-2024
10783.35,10675.31,6-9-2024
10736.17,10628.61,5-9-2024
10710.22,10602.93,4-9-2024
10658.53,10551.75,3-9-2024
10731.79,10621.35,2-9-2024
10702.92,10595.68,8-30-2024
10759.12,10651.32,8-29-2024
10748.6,10640.91,8-28-2024
10739.18,10631.58,8-27-2024
10717.7,10610.33,8-26-2024
10776.31,10668.34,8-23-2024
10630.5,10524,8-22-2024
10620.84,10514.44,8-21-2024
10718.21,10610.84,8-20-2024
10598.26,10492.1,8-19-2024
10707.3,10600.05,8-16-2024
