Tanggal,Harga Bamer
2020-10-01,32850
2020-10-02,32850
2020-10-05,37500
2020-10-06,37500
2020-10-07,37500
2020-10-08,37500
2020-10-09,37500
2020-10-12,39150
2020-10-13,39150
2020-10-14,40000
2020-10-15,40000
2020-10-16,40850
2020-10-19,37500
2020-10-20,37500
2020-10-21,37500
2020-10-22,37500
2020-10-23,37500
2020-10-26,38350
2020-10-27,38350
2020-10-28,
2020-10-29,
2020-10-30,
2020-11-02,38350
2020-11-03,38350
2020-11-04,38350
2020-11-05,38350
2020-11-06,38350
2020-11-09,37500
2020-11-10,37500
2020-11-11,37500
2020-11-12,37500
2020-11-13,37500
2020-11-16,37500
2020-11-17,37500
2020-11-18,37500
2020-11-19,37500
2020-11-20,37500
2020-11-23,37500
2020-11-24,37500
2020-11-25,37500
2020-11-26,37500
2020-11-27,37500
2020-11-30,37500
2020-12-01,37500
2020-12-02,37500
2020-12-03,37500
2020-12-04,37500
2020-12-07,37500
2020-12-08,37500
2020-12-09,
2020-12-10,37500
2020-12-11,37500
2020-12-14,38000
2020-12-15,38000
2020-12-16,38000
2020-12-17,38000
2020-12-18,38000
2020-12-21,35500
2020-12-22,35500
2020-12-23,35500
2020-12-24,
2020-12-25,
2020-12-28,35000
2020-12-29,35000
2020-12-30,35000
2020-12-31,
2021-01-01,
2021-01-04,35000
2021-01-05,35000
2021-01-06,33350
2021-01-07,33350
2021-01-08,33350
2021-01-11,34150
2021-01-12,34150
2021-01-13,34150
2021-01-14,35000
2021-01-15,35000
2021-01-18,34150
2021-01-19,34150
2021-01-20,34150
2021-01-21,34150
2021-01-22,34150
2021-01-25,35000
2021-01-26,35000
2021-01-27,35000
2021-01-28,35000
2021-01-29,35000
2021-02-01,35850
2021-02-02,35850
2021-02-03,35850
2021-02-04,35850
2021-02-05,37000
2021-02-08,39150
2021-02-09,39150
2021-02-10,40850
2021-02-11,40850
2021-02-12,
2021-02-15,41650
2021-02-16,41650
2021-02-17,41650
2021-02-18,41650
