Date,Open,High,Low,Close,Adj Close,Volume
2020-01-01,0.033,0.034,0.033,0.033,0.033,22948374
2020-01-02,0.033,0.034,0.032,0.033,0.033,20843934
2020-01-03,0.033,0.034,0.032,0.034,0.034,30162644
2020-01-04,0.034,0.035,0.034,0.035,0.035,29535781
2020-01-05,0.035,0.035,0.035,0.035,0.035,21479178
2020-01-06,0.035,0.037,0.035,0.037,0.037,37988444
2020-01-07,0.037,0.038,0.037,0.037,0.037,51562680
2020-01-08,0.037,0.039,0.036,0.036,0.036,49193345
2020-01-09,0.036,0.036,0.036,0.036,0.036,26562776
2020-01-10,0.036,0.037,0.035,0.037,0.037,47483943
2020-01-11,0.037,0.038,0.037,0.037,0.037,63485488
2020-01-12,0.037,0.038,0.037,0.038,0.038,56546260
2020-01-13,0.038,0.038,0.037,0.037,0.037,56296775
2020-01-14,0.037,0.042,0.037,0.042,0.042,125280206
2020-01-15,0.042,0.043,0.04,0.043,0.043,111350540
2020-01-16,0.043,0.043,0.04,0.041,0.041,76686221
2020-01-17,0.041,0.046,0.041,0.045,0.045,106282894
2020-01-18,0.045,0.046,0.043,0.045,0.045,89192476
2020-01-19,0.045,0.046,0.041,0.042,0.042,91187159
2020-01-20,0.042,0.044,0.042,0.044,0.044,70100648
2020-01-21,0.044,0.047,0.043,0.046,0.046,95915865
2020-01-22,0.046,0.046,0.045,0.046,0.046,67145740
2020-01-23,0.046,0.046,0.042,0.043,0.043,75034253
2020-01-24,0.043,0.045,0.041,0.045,0.045,77503651
2020-01-25,0.045,0.045,0.043,0.043,0.043,57389976
2020-01-26,0.043,0.045,0.043,0.045,0.045,62759585
2020-01-27,0.045,0.049,0.044,0.048,0.048,97006750
2020-01-28,0.048,0.054,0.047,0.053,0.053,207996791
2020-01-29,0.053,0.057,0.053,0.054,0.054,187136958
2020-01-30,0.053,0.057,0.052,0.056,0.056,153009928
2020-01-31,0.056,0.057,0.052,0.054,0.054,130754832
2020-02-01,0.054,0.057,0.053,0.056,0.056,110646744
2020-02-02,0.056,0.058,0.055,0.056,0.056,161454527
2020-02-03,0.056,0.058,0.055,0.057,0.057,106658349
2020-02-04,0.057,0.058,0.054,0.056,0.056,108933031
2020-02-05,0.056,0.06,0.056,0.059,0.059,138149931
2020-02-06,0.059,0.061,0.058,0.06,0.06,136652023
2020-02-07,0.06,0.062,0.06,0.06,0.06,132154530
2020-02-08,0.06,0.061,0.058,0.06,0.06,135969080
2020-02-09,0.06,0.062,0.06,0.062,0.062,137945919
2020-02-10,0.062,0.062,0.058,0.06,0.06,137083309
2020-02-11,0.06,0.063,0.059,0.063,0.063,203550299
2020-02-12,0.063,0.07,0.063,0.068,0.068,220517194
2020-02-13,0.068,0.072,0.066,0.069,0.069,251519041
2020-02-14,0.069,0.071,0.067,0.071,0.071,183283803
2020-02-15,0.071,0.071,0.063,0.064,0.064,190925361
2020-02-16,0.064,0.067,0.057,0.063,0.063,206918460
