no,Madura,Indonesia,hal,buku kelas
1.0,Tadha' bakto se bisa majembar monggu dha' se settong,Tidak ada waktu yang bisa memberi kelegaan bagi dirinya.,1,oreng-oreng palang
2.0,Sabban are coma cengngeng,Setiap hari hanya termenung.,1,oreng-oreng palang
3.0,Padhana badha se epandeng,Seakan-akan ada yang dipandang.,1,oreng-oreng palang
4.0,"Kadhang nanges kadibi'an, bila dhapa' ka malem kemmis e sabban mingguna","Terkadang menangis sendirian, bila tiba malam Jumat di setiap minggunya.",1,oreng-oreng palang
5.0,Kabiyasa'an se ejalane mabingong ban marengsa reng-oreng se badha e semma'na ban oreng jau se nga-taowe,Kebiasaan yang dijalaninya itu membingungkan dan membuat iba orang-orang yang ada di dekatnya dan orang jauh yang mengetahuinya.,1,oreng-oreng palang
6.0,Polana ce' anena,Karena sangat aneh.,1,oreng-oreng palang
7.0,Badanna se lempo aoba koros ngarempeng kare kole' ban tolang ngarantang,"Badannya yang berisi berubah menjadi kurus kering kerontang, tinggal kulit dan tulang belulang.",1,oreng-oreng palang
8.0,"Matana se tajem, sajan abit sajan caltong ban cope' taker ta'etangale bai'na","Matanya yang tajam, semakin lama semakin cekung dan sipit hingga hampir tidak terlihat lagi.",1,oreng-oreng palang
9.0,Kaaddhangan aeng matana se terros ngaremmes,Terhalang oleh air matanya yang terus mengalir.,1,oreng-oreng palang
10.0,Obu'na ngarampay ajajari to'odda,Rambutnya terurai panjang sejajar dengan lututnya.,1,oreng-oreng palang
11.0,Kokona lanjang marong merrong mara carang,Kukunya panjang melengkung tak beraturan seperti ranting.,1,oreng-oreng palang
12.0,Apapole bau amessa se antem mabungkar canggana elong se kalowar dhari poro la'-ola' e sakojur badanna,Apalagi bau busuk yang menyengat menusuk penciuman yang keluar dari pori-pori di sekujur tubuhnya.,1,oreng-oreng palang
13.0,Reng-oreng sakampong padha tao ja' e kebbun nangka,Orang-orang sekampung sama-sama tahu bahwa di kebun nangka,1,oreng-oreng palang
14.0,ka badha settong oreng se paennengnga nyalenne dhari kabiyasa'an,ada seorang yang perilakunya menyimpang dari kebiasaan.,2,oreng-oreng palang
15.0,"Salaen pola tengkana se ane, na'-kana' se patot esebbut ra-kera aomor bellasan taon jareya gi' ta'ekataowe asalla dhari dhimma, ana'na sapa, ban sapa'an balana","Selain tingkah lakunya yang aneh, anak yang pantas disebut kira-kira berumur belasan tahun itu masih tidak diketahui asalnya dari mana, anaknya siapa, dan siapa saja kerabatnya.",2,oreng-oreng palang
16.0,"Mela dhari jareya, reng-oreng abak ketter se ra'-para'a ka lanceng se tadha' marduliyagi jareya","Oleh karena itu, orang-orang merasa khawatir untuk mendekat ke anak gadis yang tidak peduli itu.",2,oreng-oreng palang
17.0,"Saellana mosem nembara' ngalosot nyemma'e pa-nemor, angen baradda berra' berreng nyengkap ju-kajuwan ban ka'-bungka'an se aronce' ta' adhaun","Setelah musim kemarau surut mendekati musim penghujan, angin barat yang kencang menerpa pepohonan dan bunga-bunga yang rontok tak berdaun.",2,oreng-oreng palang
18.0,Etamba panassa are se tajem ngello' bang-rabangan se ngobal dhalem pangabasan se ambar,Ditambah panasnya matahari yang tajam menyengat ilalang kering yang bergoyang dalam pandangan yang kabur.,2,oreng-oreng palang
19.0,Magarsare kampong ban sakobengnga tadha' se ceccer dhalem karengsa'an,Penduduk kampung dan sekitarnya tidak ada yang luput dari penderitaan.,2,oreng-oreng palang
20.0,"Angen se biyasana ngales-ser,aoba bau antemma poro se alebbiyan dhari ba-bathangnga olar ban tekos","Angin yang biasanya sepoi-sepoi, berubah bau busuk menyengat yang lebih dari bangkai ular dan tikus.",2,oreng-oreng palang
21.0,"Oreng sakampong apeggellan polana molane bilan tadha' bau abatthowangan, o-tao temmo badha bau pakker se asomber dhari reng manca jareya","Orang sekampung merasa jengkel karena sudah berbulan-bulan bau bangkai tak kunjung hilang, atau terkadang ada bau pesing yang bersumber dari pendatang itu.",2,oreng-oreng palang
22.0,"Kalagguwanna, pajjar molae ngombar matao roba dhari temor","Pagi-pagi buta, fajar mulai memancarkan cahaya kemerahan dari timur.",2,oreng-oreng palang
23.0,Atan-pangantanan bi' ondhem karena ojan,Bercampur dengan mendung pertanda akan hujan.,2,oreng-oreng palang
24.0,Ajam ngontap agalebber ngagarudhu,"Ayam serentak bersuara, beterbangan membuat gaduh.",2,oreng-oreng palang
25.0,"badha se akotak, akongko', acoker, ban badha akikuk dhari pata-ranganna","Ada yang berkotek, berkokok, mencicit, dan ada yang ribut dari kandangnya.",2,oreng-oreng palang
26.0,Adan sobbu gi'buru lebat,Azan subuh baru saja berlalu.,2,oreng-oreng palang
27.0,"Reng-orengpadha agangse sadha', pas ngala'peltong, laju mangkat ka sabana bang","Orang-orang pun bergegas bangun, lalu mengambil keranjang rumput, kemudian berangkat ke sawahnya masing",2,oreng-oreng palang
28.0,sebang kaangguy nyare pakanna sapena se eobu,masing untuk mencari pakan sapi peliharaannya.,3,oreng-oreng palang
29.0,Mano'dalko' ngarapkap lep-saleban nyare kasap,Burung tekukur terbang rendah hilir mudik mencari makan pagi.,3,oreng-oreng palang
30.0,Jareya kabbi bagiyan dhari dha-tandha ja' parjalananna odhi' emolae pole ban omorra mahlok sajan nyorot ngorange,Itu semua adalah bagian dari tanda-tanda bahwa perjalanan hidup dimulai lagi dan umur makhluk semakin surut berkurang.,3,oreng-oreng palang
31.0,"Sabatara reng manca se aporowan gi' paggun badha e babana nangka, nyandhadhut e bungkella","Sementara itu, pendatang yang kurus kering itu masih tetap berada di bawah pohon nangka, meringkuk di pangkalnya.",3,oreng-oreng palang
32.0,"Abak aban sakone', se ngare' la padha mole ngeba rebba sapeltong e so'onanna","Setelah beberapa saat, yang lain sudah pulang membawa rumput di keranjang junjungannya.",3,oreng-oreng palang
33.0,Bariya keya Sahwi,Begitu pula Sahwi.,3,oreng-oreng palang
34.0,"Sahwi pas laju so-ngaso sambi dhang-ngendhang, samarena nyaba' rebbana e malongan","Sahwi pun beristirahat sejenak sambil memandang sekitar, setelah meletakkan rumput bawaannya di tempat pakan ternak.",3,oreng-oreng palang
35.0,"E taneyan, Sahwi sabareng-ngan tor-catoran","Di halaman rumah, Sahwi bersama teman-temannya bercakap-cakap.",3,oreng-oreng palang
36.0,Se ekakandha tadha'laen coma reng manca se abauwan saabidda sabulan se tapongkor,Yang dibicarakan tidak lain hanyalah si pendatang yang menebar bau busuk selama sebulan terakhir.,3,oreng-oreng palang
37.0,Aneko barammana carana kaangguy ngatase ma-sala se marengsa kaodhi'an oreng sakampong dhinto,"Bagaimana ini caranya untuk mengatasi masalah yang menyusahkan kehidupan orang sekampung, ",3,oreng-oreng palang
38.0,"oca'na Sahwi ka kancana se kadhuwa, Brudin dan Satnan padha sepa' e babana pao se badha e taneyanna Sahwi","ucap Sahwi kepada kedua temannya, Brudin dan Satnan, yang duduk bersila di bawah pohon mangga di halaman rumah Sahwi.",3,oreng-oreng palang
39.0,"Enggi onggu, polana pon cokop abit bau ganeko se badha e kampong dhinto,","Iya betul, soalnya sudah cukup lama bau ini ada di kampung kita, ",3,oreng-oreng palang
40.0,Satnan nyambit sambi asirut roko'ban kobina,Satnan membalas sambil mengisap dalam-dalam rokok kreteknya.,3,oreng-oreng palang
41.0,"Baramma mon oreng se madhateng bau ganeko epanyengla otaba obbar, pas abuna bendhem ma'lekkas tadha' ban mare epekkere","Bagaimana kalau orang yang mendatangkan bau itu disingkirkan atau dibakar, lalu abunya dikubur supaya lekas hilang dan tidak menjadi pikiran lagi.",3,oreng-oreng palang
42.0,Brudin temmo nyalto'kalaban mowa mera ban ora' le'erra gerra tandha la nae'dhara,Brudin tiba-tiba nyeletuk dengan muka memerah dan urat lehernya menegang tanda sudah naik darah.,3,oreng-oreng palang
43.0,"Saellana Brudin ausul ban matabar ka ca-kancana, kabadha'an aoba daddi seppe, ce' kacebba","Setelah Brudin memberi usul dan penawaran kepada teman-temannya, keadaan berubah menjadi sepi, sangat hening.",4,oreng-oreng palang
44.0,Kajana badha sowara se bakal daddiya kakandha'an monggu katello oreng se padhana se ataretanan jareya,Sepertinya ada suara yang akan menjadi perbincangan bagi ketiga orang yang sudah seperti bersaudara itu.,4,oreng-oreng palang
45.0,Sahwi ban Satnan padha cengngeng ngedhing apa se ekoca'agi Brudin gi' buru,Sahwi dan Satnan sama-sama termenung mendengar apa yang diucapkan Brudin barusan.,4,oreng-oreng palang
46.0,"Kadhuwana padha neng-enneng, ma-tana mella' ta'akeddep","Keduanya sama-sama terdiam, mata mereka melotot tidak berkedip.",4,oreng-oreng palang
47.0,"Kabadha'an daddi elop, padhana kembang ta'eseram samosem","Keadaan menjadi lesu, seperti bunga yang tidak disiram selama semusim.",4,oreng-oreng palang
48.0,"Ta'kemma'a se settong, se katello paggun ta' asowara","Jangankan yang satu, ketiganya tetap tidak bersuara.",4,oreng-oreng palang
49.0,Coma neng-enneng padhana badha se epandeng,Hanya terdiam seakan-akan ada yang dipandang.,4,oreng-oreng palang
50.0,Are se ngalosot la molae ondhung ka pataranganna adina lampat jang-bajangan ka temor,"Matahari yang bergeser turun sudah mulai condong ke peraduannya, membuat bayang-bayang memanjang ke timur.",4,oreng-oreng palang
51.0,"Abit tadha'sowara, apapole kandha","Lama tidak ada suara, apalagi percakapan.",4,oreng-oreng palang
52.0,Sahwi pas nyam-bit pole,Sahwi lalu menyahut lagi.,4,oreng-oreng palang
53.0,"Monggu dha' bula, mon pas epanyengla otaba ebuwang, napepole pas eobbar, bula ta'saroju"," Menurut saya, kalau langsung disingkirkan atau dibuang, apalagi sampai dibakar, saya tidak setuju. ",4,oreng-oreng palang
54.0,Anape dika ma' bisa nga' ganeko, Kenapa kamu bisa bilang begitu? ,4,oreng-oreng palang
55.0,Satnan nyaot tanya ka apa se daddi alasanna kancana jareya,"Satnan menyahut, menanyakan apa yang menjadi alasan temannya itu.",4,oreng-oreng palang
56.0,"Ba, kan enggi, se nomer settong lanceng ganeko gi' ta' ekataowe nyamana, ana' ban balana sapa, ban bengkona e dhimma"," Begini, kan iya, yang pertama anak gadis itu masih tidak diketahui namanya, anak dan kerabatnya siapa, dan asalnya dari mana. ",4,oreng-oreng palang
57.0,"Se kapeng dhuwa', sacara adat kamanossa'an bai ta' olle nyangaja padha manossana"," Yang kedua, secara adat kemanusiaan saja tidak boleh berbuat semena-mena pada sesama manusia. ",4,oreng-oreng palang
58.0,"Ban se kapeng tello', sapa se nanggunga saompamana e budhi are badha pe-nape"," Dan yang ketiga, siapa yang akan bertanggung jawab seumpama di kemudian hari ada apa-apa. ",4,oreng-oreng palang
59.0,"Mon ca'na bula, lebbbi bagus eobbar ban abuna","Kalau kata saya, lebih bagus dibakar dan abunya",4,oreng-oreng palang
60.0,pas duli bendhem,lalu segera dikubur. ,5,oreng-oreng palang
61.0,Brudin paggun tabugel dhalem pekkeranna se bato,Brudin tetap teguh dalam pikirannya yang keras seperti batu.,5,oreng-oreng palang
62.0,Ganeko dika nambai masala,Itu kamu menambah masalah.,5,oreng-oreng palang
63.0,"Se settong ta' mare balakka', mala ngonjang otaba agabay masala pole,","Yang satu belum selesai juga, malah mengundang atau membuat masalah lagi,",5,oreng-oreng palang
64.0,sambungnga Sahwi sambi mateppa' selana,sambung Sahwi sambil menepuk pahanya.,5,oreng-oreng palang
