Madura,Indonesia
ce' lebarra,sangat lebar
ce' gupegga,sangat tuli
ce' emanna,sangat sayang
ale' makanca tatangga se anyar,adik menjadikan teman tetangga yang baru
pangaterrona kaangguy mamaju bangsa sareng aba'na dibi',keinginannya untuk memajukan bangsa dan dirinya sendiri
pal-kapal dhari alri ta' sakone' se abanto malancar perhubungan,kapal-kapal alri tidak sedikit  membantu melancarkan perhubungan
pelita masakone' pangangguran,pelita mempersedikit pengangguran
ponapa artena asakola manabi ta' oneng alako,apa artinya bersekolah kalau tak bisa bekerja
reng-oreng padha alako e saba,orang-orang samapada bekerja di sawah
juko' se ejala cokop eassen bisaos,ikan yang dijala cukup diasin saja
pandengngan odhi se tapongkor e bakto samangken ampon eanggep kona,pandangan hidup yg lalulampau pada ketika ini sudah dianggap kuna
kalakowan se korang parlona eparaja,pekerjaan yang kurang berguna diperbesar
pangalowaranna epabannya' ta' karowan,pengeluaran diperbanyak tiada keruan
tale jemmoran se abak tenggi epakabba,tali jemuran yang agak tinggi dikebawahkan
e bakto se tapongkor gi' ta' bannya' oreng se ngarte,pada waktu yang lalu masih belum banyak orang yang mengerti
tanangnga takepe' ka labang,tangannya tercepit  pintu
panoguna songay reya olar raja,penunggu sungai ini ular besar
panganga'na kompor kene',penghangatnya kompor kecil
na'kana' terro abengkowa dibi,anak-anak ingin  berumah sendiri
tadha pamekkeran kadi ponapa juko' bisa'a tahan abit,tidak ada pemikiran bagaimana ikan akan dapat tahan lama
kalampok rowa gi' mera'a,jambu air itu akan  merah
ana'na para' dhuwa'a,anaknya hampir akan menjadi dua
etongan areya ce' jalimedda,hitungan ini jelimat benar
pamarenta pusat indonesia badha e jakarta,pemerintah pusat indonesia ada di jakarta
pamojina ebu ce' saena,doa restu ibu sangat baik
ba'na ja' akarettek juba' dha' oreng jareya,jangan kamu berperasaan jelek terhadap orang itu
ana'na penasthe ongga pangkat,anaknya pasti naik pangkat
hajadda tomekka onggu sateya,niatnya terkabulkan benar sekarang
oreng tene ampon bannya' pangarteyanna,petani sudah mempunyai pengertian banyak
tadha' pamekkeran kadi ponapa juko' bisa'a tahan abit,tidak ada pemikiran bagaimana ikan akan dapat tahan lama
oreng tane ampon bannya' pangarteyanna berkat panerrangan dari pamarenta,petani sudah mempunyai pengertian yang banyak berkat penerangan pemerintah
'hal se aguna dha' karomatangga'an,hal yang berguna  kerumahtanggaan
kalakowan se korang parlona eparaja,pekerjaan yg kurang berguna diperbesar
kasaeyan se ngontongngagi dha' sadajana,kebaikan yang menguntungkan kepada semuanya
kabannya'an ampon ngarte,kebanyakan sudah mengerti
ce' cokobba ajalannagi odhi',sangat cukup menjalankan hidupkehidupan
accen malappae juko',asin merempahi ikan
manabi ebandhingngagi kabadha'an polo madura parbida'anna ce' rajana dhari jaman se tapongkor,kalau diperbandingkan keadaan pulau madura perbedaannya sangat besar dari jaman  lampau
pamarenta nonton serta abimbing ra'yat dha' lalakon se ngontongngagi dha' sadajana,pemerintah menuntun serta membimbing rakyat kepada pekerjaan yang menguntungkan kepada semuanya
se ke'-lake' epesa dhari se ne'-bine',yang laki-laki dipisahkan dari yang perempuan
moga-moga ba'na lulusa,mudah-mudahan kamu akan lulus
aba' dibi',diri sendiri
abak bak-abak,membasahi badan bagian atas mandi setengah badan
kapal ngabang,kapal terbang 
kapal ngabber,kapal terbang 
sabatara abidda,sementara lamanya sesudah beberapa lama kemudian 
abu tomang,abu dapur 
juko' accen,ikan asin
tellor accen,telur asin
ka adha',lebih dulu ke depan
sekaleng adha',seketika sekaligus
tangadha' gallu,terlalu ke depan tiba lama sebelum waktunya terlalu awal
ta' etemmo dha-adha'na,tak diketahui apa yang menjadi sebab permulaannya 
kopi adun attas,kopi tubruk kopi tak disaring 
aeng kene',air surut
aeng massa',air masak
aeng matta,air mentah
aeng raja,air pasang
aeng samsam,air zamzam
aeng sodha,air soda
mowana aeng,permukaan air
sakejja' aggi',sebentar lagi
jaksa agung,jaksa agung
oreng agung,orang bangsawan orang yang berpangkat tinggi
pangeran se agung,tuhan yang maha besar 
jaman aher,jaman akhir kiamat 
aja emma',aja nenek moyang 
ajam bine,ayam betina
ajam lake,ayam jantan 
ongga ajji,naik haji 
aju radin,aju raden ayu  
aksara jaba,huruf jawa huruf ana-ca-ra-ka
aksara laten,aksara latin 
elmo alam,ilmu alam 
alas raja,rimba
burun alas,hewan dunia hewan fauna
pagar alas,tembok yang memagari sekeliling rumah
alem olama,alim ulama 
alessa adhaun memba,alisnya seperti semut beriring  
guste alla,tuhan
alon lon-alon,alun-alun
ta' ambu,tak usah tanpa 
nyo'on pamedan,minta diri  
menta ampun,minta ampun 
matowa ana',mengawinkan 
andhi' nomer,punya nomer punya nama yang cukup dikenal
andhi' nyama,mempunyai nama terkenal 
ngandhu semmo,menaruh maksud yang kurang baik 
nga-anga' koko,hangat-hangat kuku setengah panas 
angen barat,angin keras angin ribut
angen gendhing,angin ribut di selat madura
angen ribut,angin ribut
kipas angen,kipas angin
lobang angen,ventilasi
ojan angen,hujan angin 
antara laen,antara lain 
taon anyar,tahun baru permulaan tahun 
mosem anye,musim menuai padi 
kadi ponapa,mengapa
kembang mata are,bunga matahari
dhung-ondhung are,hari akan senja
sorop are,matahari akan terbenam 
arga poket,harga pasti harga mati 
aris arisan,arisan
arum arum manis,arum manis 
asar maba,waktu hampir magrib waktu matahari terbenam 
bit asmana,dengan nama atas nama 
bellak atena,jahat tidak dapat dipercaya
kene' ate,kecil hati
ngala' ate,mengambil hati mengambil muka
panas ate,panas hati
pote ate,tulus jujur
sake' ate,sakit hati
talampo' anna ate,perut bagian atas searah dengan hati
ballung atos,delapan ratus
nem atos,enam ratus
pettong atos,tujuh ratus
sangang atos,sembilan ratus 
jumandil awwal,bulan jumandil awal
badan kaula,saya
gerra' badan,gerak badan 
badha'a gabyya,akan ada kerja dalam bidang perkawinan
ola'na kabadhaan,pengacau keadaan
oreng badha,orang beradaberuang
topi baja,topi waja 
bajang setan bajang,setan anak-anak tuyul  
bala karaba,kaum kerabat yang jumlahnya banyak 
balakangnga tadhi',bagian belakang pisau 
bali one,kembali seperti sedia kala
ballu' lekor,dua puluh delapan
ballung polo,delapan puluh 
padha ban,sama dengan 
bangkang losneng,telanjang bulat
bangkang molos,telanjang bulat 
sake' ra-bara,sakit bengkak seluruh badan
kabari' anna,kemarin harinya
ahli baris,ahli waris 
bato ketthek,batu api 
batona senter,baterai
gula bato,gula batu
tokang bato,tukang batu 
becce' ate,baik hati 
tokang beddel,tukang celup 
ballu' bellas,delapan belas
dhu' bellas,dua belas
lema' bellas,lima belas
pa' bellas,empat belas
sanga' bellas,sembilan belas
tello' bellas,tiga belas 
melle sontoran,membeli tanpa memandang besar dan kecilnya dng harga yg senilai 
saare benteng,sehari suntuk 
berra' juwangen,berat ke kepala berat ke atas
berras kappor,beras merah 
padha bi',sama dengan 
bigina mata,biji mata
bilis celleng,semut hitam
se bine',isterinya yang berjenis perempuan 
ta' bingkeng,tak ikut mengiringkan  
bintang nanggala,bintang waluku
bintang poteka,bintang timur 
bola jai',benang jahit 
maen bola,main bilyar 
tokang bubut,tukang bubut 
mabudhu' pesse,membungakan uang
budhu' kaula,anak saya
tokang budhu',lintah darat 
abujai tase',menggarami laut berbuat sesuatu tanpa guna
buja cabbi,garam dan lombok  
jaran bujel,kuda kerdil
colpak bujel,putustanggal pusar
copplak bujel,putustanggal pusar  
mokka' balabar,mengizinkan masuk setelah bersoal jawab dalam tembang menembang atau pantun memantun
li'-bali' bukkak,kuntianak sundal bolong 
le-pele bukkol,memilih-milih sesuatu yang akhirnya kena kepada yang berulat  
bulan gara'a,gerhana bulan 
bulan kabengan,bulan dikalang
tera' bulan,terang bulan
dhateng bulan,datang bulan haid
bulan takepe',bulan zulkaidah 
bulu keja',bulu mata
buluna kole',bulu romakuduk
manjeng buluna kole',berdiri bulu kudukroma
noro' bunto',mengikuti selalu tak mau ditinggalkan mengekor 
tokang buru,pemburu 
calo' buru',cakap yang tak dapat dipercayakan 
tellor samburugan,telur yang tidak jadi dan berbau busuk
ta' burung,tentu tak boleh tidak 
lala' buta,lalat buta
sorat buta,surat kaleng 
geddhang cabul,pisang cebol 
daddi caca,jadi buah mulut 
caceng pita,cacing pita 
calana jengki,celana jengki
petteng calemodan,gelap gulita
atapa cangkem,bertopang dagu 
tokang cathot,tukang catut orang yang suka mengambil keuntungan berlimpah 
ce' sarana,terlalu benar 
celleng molos,hitam rata
kella celo',sayur asam 
labu cena,waluh cina
kanceng cetthet,kancing yang dapat berbunyi tet 
ta' cokba,tak ada halangan terus menerus 
tokang cokor,tukang potong rambut 
cope' langnge'na,sempit pengalamanpengetahuannya 
nga'-enga' daba',ingat-ingat basa ingat-ingat sedikit 
daddi tonju',jadi mata-mata 
dalubang kaju,kertas kayu
dalubang mennya',kertas minyak
damar senter,flash-light sentolop
damar teng,lampu minyak tanah yang dapat dijinjing 
dha' iya,begini
amaen dhadhu,berjudi dengan dadu 
bara' dhaja,barat laut
temor dhaja,timur laut 
tapa' dhangdhang,tanda silang 
dhara elongen,mimisan 
dhang-ondhang dhasar,undang-undang dasar 
dhateng kotorra,datang bulan 
babang dhaun,bawang daun 
dhem-dhemdhem kolek,berlagak diam tetapi akan melawan kalau disalahi 
dhokter gigi,dokter gigi 
dhu' malem,besok lusa dua malam 
mennya' dhuyung,minyak ikan duyung 
pesse dinar,uang dollar  
sorat dines,surat dinas 
adinggal dunnya,meninggal dunia   
aba' diri',diri sendiri
tonju' duding,jari telunjuk 
embi' dumba,domba kambing domba 
neng e,di pada  
amaen ebbal,bermain sepak bola 
ebbom atom,bom atom 
somor ebbor,sumur bor 
pae' eber,pahit selera tidak suka makan 
ballung ebu,delapan ribu
dhu' ebu,dua ribu
lema' ebu,lima ribu
nem ebu,enam ribu
pa' ebu,empat ribu
pettong ebu,tujuh ribu
sangang ebu,sembilan ribu
tello' ebu,tiga ribu 
tokang edder,orang yang menawarkan dagangan 
ngedhing bau,tercium bau 
menta edi,minta idin 
tolos ehlas,tulus ikhlas 
elmo kimiya,ilmu kimia
embu' emban,inang pengasuh 
emmi guring,mi goreng 
pa' lekor,dua puluh empat
pa' polo,empat puluh
ta' enga',pingsan  tidak ingat
ta' enga' oreng,tak memikirkan
entar jalan,pergi bepergian 
sorat eppas,surat idin masuk 
mattowa ereng,mertua samping  
es lilin,es lilin
lomare es,lemari es 
bato etem,batu gunung yang keras hitam
tajin etem,bubur hitam 
messin ettik,mesin tik 
tokang eyas,perias mempelai 
sombajang fardu,sembahyang wajib
dalubang foliyo,kertas folio
foto kopi,foto kopi 
kembang gaddhing,bunga gading
nyeyor gaddhing,kelapa gading kelapa kuning 
laggu gallu,terlalu pagi kepagian
agalunyo' bungkol,menelan bulat-bulat 
gan settong,satu demi satu satu persatu 
gan dhinna',sampai di sini 
kates gandhul,pepaya gantung 
lomare gantong,lemari gantung 
macan garambis,singa 
mano' gareja,burung sb gelatik berbulu coklat 
mennya' gas,minyak tanah 
geddhang bigi,pisang biji
geddhang biru,pisang hijau pisang ambon
geddhang guring,pisang goreng
geddhang karepe',sb pisang yg dpt diiris-iris menjadi kripikkropok
geddhang paka',pisang kesat
geddhang saba,pisang sobo 
roma geddhung,rumah batu 
gellang soko,binggel gelang kaki
pagellangan soko,pergelangan kaki
pagellangan tanang,pergelangan tangan
temmo gellang,temu gelang 
gerra manjeng,mati tegang berdiri
mate gerra,mati tegang 
mella' matana gerrang,pura-pura tdk melihat walaupun sdh mengetahui  
gerrangnga elong,upil
gerrangnga poro,darah yg mengering pd luka kerak luka 
onggar gerring,baru sembuh dr sakit
gi' badha suwargana,masih ada umurnya masih hidup
gigi bungso,gigi budiman gigi yg tumbuh terakhir
gigi seyong,gigi taring
gigi tareng,gigi taring
sake' gigi,sakit gigi
sikat gigi,sikat gigi 
toro' gilir,berurutan 
agotong royong,bergotong royong 
kilo gram,kilo gram 
jaran gujang,epilepsi ayanan
korse gujang,kursi goyang 
gula cabak,gula jawa
gula jaba,gula jawa 
saguli ennengnga,tingkah perbuatannya 
agulu manjangan,leher yg jenjang 
bato gunong,batu gunung
gunong na'nong,jauh di pedalaman
sombajang hajat,sembahyang hajat
tekka hajat,sampai maksudniat 
ongga hajji,naik haji 
hawa napso,hawa nafsu 
buta horof,buta huruf 
jaringan informasi,jaringan informasi 
iya areya,yaitu yalah
kan iya,maka dari itu begitu bukan
sela dha'iya,selain dari pada itu
tokang iyas,perias mempelai
ja' aggi',sebentar lagi
ja' kowae,jangan dikira jangan dikata
ja' lakar,memang sungguh
ajam jagu,ayam jago 
berras jagung,beras jagung 
messin jai',mesin jahit
tokang jai',penjahit  
kajaksa'an nagara,kejaksaan negara
jalan raja,jalan raya
toro' jalan,sepanjang jalan 
ta' jama',terlalu amat 
mowang jangkar,membuang sauh
sala janji,ingkar janji
jaran sandel,kuda tinggi besar 
jas ojan,jas hujan 
kaju jate,kayu jati 
soal jawab,soal jawab
tanggung jawab,tanggung jawab 
jerruk peccel,jeruk nipis
jerruk porot,jeruk purut
jerruk pruk,jeruk pruk 
petteng jibet,gelap gulita 
juju' bine',buyut perempuan
juju' lake',buyut laki-laki 
serana juko',kepala ikan 
juko' tase',lauk pauk berupa ikan laut 
aora' kaba',berurat kawat
atolang kaba',bertulang kawat
mokol kaba',mengirim kawat 
kaka' kaballun,kakak tiri
taretan kaballun,saudara tiri 
sorat kabar,surat kabar 
se kabasa,yg berkuasa tuhan 
kabin gantong,kawin gantung
sorat kabin,surat kawin 
dalubang kaca,kertas kaca kertas selopan
kaca mata,kaca mata
kaca rasa,kaca rasa cermin 
