Madura,Indonesia
ajhuwâl kapo,berjual kapuk
mataarèna ella compet,mataharinya sudah tenggelam
pola aghuna nambâi èlmo,mungkin berguna untuk menambah ilmu
satengnga sèttong,setengah satu
tèngghi dhârâjhâddhâ,tinggi derajatnya
bibirra sambhi bi'-kebbi'ân,bibirnya sambil komat-kamit
babang epasemma' ka tajemma ladding,bawang didekatkan pada tajamnya pisau
dâpâ' neng lowar tanèyan,tiba di luar halaman
tamaso' bâjing kalaka sakalèta' tako',termasuk preman sekalipun tidak takut
bari'anna ngarenye' malolo,kemarinnya merengek melulu
mon engko' lân-jhâlânan kadhibi' nyarèmalem,kalau aku jalan-jalan sendiri mencari malam
èyatorè jâwâb pètanya pètanya è bâbâ ka’ḍinto kalabân pèlèyan sè palèng lerres,silakan jawab pertanyaan-pertanyaan di bawah ini dengan jawaban yang paling benar
ta' kèra epartajâi,tidak mungkin dipercaya
labângnga atangtang,pintunya terbuka luas
jhȃjhȃl `essè’`e titi’ titi’ è bȃbȃ rèya,coba isilah titik-titik di bawah ini
aèng songhâng,air mengalir balik
odhi' mate judhu sake' baras risgi kabbi guste allah se ngator,hidup mati jodoh sakit sehat rezeki semua gusti allah yang ngatur
dhâddhi deskripsi panèka bâḍâ ḍuwâ’ macem,jadi deskripsi itu ada dua macam
para’ malemma otabȃ para’,hampir malamnya atau hampir
badha se kompolan rengnge'se abung-garibbung sambi ngabber,ada yang kumpulan nyamuk yang berkumpul sambil terbang
moghâ dhâddhiyâ tambâna du’a,semoga menjadi tambahan doa
pon ta' nyaman kabasana,sudah tidak nyaman keadaannya
apa sè èkoca’ tè-patèna ajȃm,apa yang dikatakan mati-matinya ayam
èjherjher bi' partanyaan,dicecar dengan pertanyaan
èkèr-pèkkèr nyaman kèya koca'en,dipikir-pikir enak juga katanya
jhȃjhȃl sarè ca’-oca’ sè malarat neng carèta è attas,coba cari kata-kata yang sulit di dalam cerita di atas
kandhel akaḍi',tebal seperti
poro ola',kadas kudis 
pangèran lor pas makon papatèna sè asmana wangsadumèttra ka’angghuy,pangeran lor memerintahkan panglimanya bernama wangsadumetra untuk
ta' ḍhik loppa,tidak pernah melupakan
bula pon sake' tabu' neko,saya sudah sakit perut ini
jhȃjhȃl rembhȃk sakanca’an,coba diskusikan dengan teman-teman
perrèng norè,jenis bambu yang banyak durinya
ja' lakar,memang sungguh
dhing la abit rèng kaduwwâ dissa ajhelling nya muna la ongghâ ka tas bèca',ternyata sudah lama kedua orang itu di sana melihat nya muna sudah naik ke atas becak
tasè' lao',laut selatan
moso temmo ngombâr dâri lao',musuh tiba-tiba menebar dari selatan
tang ora' kaḍi'na apengkrèpeng,uratku sepertinya bergerenyut-gerenyut
kadhiponapa bujuddhâ bârnana bâḍâ ponapana sareng ḍhâ-tanḍhâ laènna kantos orèng sè maos panèka dhi-kadhiyâ ngoladhi dhibi’ bhârângnga,bagaimana wujudnya warnanya ada apanya dan ciri-ciri lainnya hingga orang yang membacanya seolah-olah melihat sendiri benda tersebut
oca’ sarojȃ tamaso’ oca’ camporan,kata seroja termasuk kata campuran
obâng ḍollar,uang dolar
sabellunna daddi onggu se apangantana ban isa,sebelum menjadi sungguh bertunangan dengan isa
aèssè pan-saponapan bâbulângan sè kèngèng èpetthèk ḍâri carèta sè ampon kalampan,berisi beberapa hikmah yang boleh dipetik dari cerita yang sudah berjalan
nya dumma ta' ghellem ambu sè anembhâng,nya dumma tidak mau berhenti menembang
ḍâgghi’ân èngghi jâwâbbhâ aldi,nanti saja jawabnya aldi
suroso temmo aberka' kalowar,suroso tiba-tiba berlari keluar
bato eobbar banne neng e tomang dhalem dhapor,batu dibakar bukan di tungku dalam dapur
yatorè lèngghi,silakan duduk
ngedhing ca-kancana pon pendha ramme tokona,mendengar teman-temannya sudah ramai tokonya
ngoca' engko' dâlem atè,ucapku dalam hati
badha keya se nyono' ka kopeng kacerra,ada juga yang menyentuh ke telinga kirinya
dhâddhi polana engko'orèngnga lakar ghuongghu terro taoa pas èsemma'è bi'engko',jadi karena aku orangnya memang sungguh-sungguh ingin tahu lalu didekati olehku
ping pilu’ maju kanca maju rokon,ping pilu' ayo kawan ayo rukun
mid kalambhina bâ’na sè ta’ èyangghuy rowa èpènta’a sèngko’,mid bajumu yang gak dipakai itu mau kuminta
sabhârâng moḍâ larang patot artèna orèng sogghi tapè ta’ tao ngator râng-bhârângnga,segala yang murah mahal pantas artinya orang kaya tapi tidak tahu mengatur barang-barangnya
dâpa' ka tasè'langsong èpakalowar dâri essekghâ,tiba di laut langsung dikeluarkan dari keranjangnya
mowana asonar,wajahnya bersinar
karettegga sakeccap abundel dhalem dhadhana,tiba-tiba satu kalimat terlintas dalam dadanya
otang se manabi edina bakal sajan bannya' atamba,utang yang apabila dibiarkan akan semakin banyak bertambah
ghecḍḍhâng saarèp,sesisir pisang
pangangghuy lajâr panèka ghunana ka’angghuy nombuwâghi monyè,pangangghuy  lajar berguna untuk membantu memperjelas bunyi
pokeddhâ pangghâliyân sè bisa ètèngal ḍâri kompolanna pan-saponapan alenia èsebbhut,pokok pemikiran yang bisa dilihat dari kumpulan beberapa alinea disebut
sè moljȃ bapak kopala sakola,yang mulia bapak kepala sekolah
ngoca' rendi na'-kana' sè ghi' asakola,ucap rendi anak-anak yang masih bersekolah
dhuwa' lobang se raja kadibi'-kadibi',dua lubang yang besar sendirian
sorat kabar,surat kabar 
naccek ka dhadhana,menancap ke dadanya
matè sejjek tadâ'en radèn wijaya,mati sejak tidak adanya raden wijaya
tatangghâna yu sarmi sè anyama mad nawi tao jhâ' bâdâ kasa'en orèng neng dâlemkamarra yu sarmi,tetangganya yu sarmi yang bernama mad nawi tahu bahwa ada langkah orang di dalam kamarnya yu sarmi
bânnya' sè nyabâ kembhâng bi' dhupana,banyak yang menaruh kembang dan dupanya
sala sèttong bujuttèpon bhuḍhâjâ bhângsa indonesia èngghi panèka bâḍâna kasennèyan,salah satu wujudnya budaya bangsa indonesia yaitu adanya kesenian
ngoca’a jherruk bhâli kolè’na ta’ konèng bhiru ra-kèra ta’ bâriyâ kemma soko kemma lè’èr bhângon bungkol memper dâ’ bhângonna cèthak,dikatakan jeruk bali kulitnya tidak kuning biru kira-kira tidak begitu mana kaki mana leher bentuknya bulat mirip dengan bentuknya cetakan
apa tojjhuwȃnna,apa tujuannya
orèng buwângan,orang yang dibuang ke luar daerahnya
suroso ta' bisa ta' aberri'polana embu'en maksa terros soro ngateraghi pèssè,suroso tidak bisa tidak memberi karena neneknya memaksa terus suruh mengantarkan uang
ganeko olar,itu ular
apa tegghȃssa bhȃngsalan ḍȃri kapal cèna,apa artinya bangsalan dari kapal cina
ka mor lao' kana' dhuliyân mangkat majul,ke arah selatan anak-anak cepat berangkat maju
landâur jiyâ langsong maèlang,landâur itu langsung menghilang
sabâb ampon nganèserrè,karena sudah mengasihani
dhari kennengngan se paleng seppe kantos se paleng ramme sakale monggu dha' isa hikam ampon daddi settong,dari tempat yang paling sepi sampai yang paling ramai sekali pun bagi isa hikam sudah menjadi satu
asal bârâs mara dhuli bârâs,asalkan sembuh marilah cepat sembuh
dhujân nangès mon bâdâ rèng sossa otabâ rèng sèècapo' mosèbâ,suka menangis kalau ada orang susah atau orang yang dihinggapi musibah
karo engko' sè dâri lao' bâdâ polè sè dâri bârâ' bi'tèmor,hanya aku yang dari selatan ada lagi yang dari barat dan timur
mamaca biyâsana èlampa’aghi neng kaparlowan ponapa,mamaca biasanya dilaksanakan dalam keperluan apa
ajâm jhâlu',ayam jago
lapangan kerrabhân,lapangan untuk arena kerapan
tang kopi ghi' akarè satengnga gellas,minuman kopiku masih tersisa setengah gelas
kabâḍâ’ân panèka sè andhâddhiyaghi prabu,setelah dari itu ada kabar lagi bahwa pandawa itu masih ada dan masih hidup
ahèrra bisa alon-kellon polè saomorra,akhirnya bisa beraktivitas lagi seumur hidupnya
pas kalèbunna acarama polè,kepala desa berpidato lagi
jhângan oto',sayur kacang panjang
ḍâ’ ḍimma bulân ngajhâk bhumè,ke mana bulan mengajak bumi
jhâ' kaèrè,jangan dibuat iri
rasat sè èkennal gântengnga dhâddhi rèng jhubâ' cè' jhubâ'en,rasat yang dikenal tampannya menjadi orang jelek sejelek-jeleknya
oca’ lalabȃnna,lawan kata
sela ngoca' molae sabban,lalu berkata mulai bangun
talèllep nyabâna up-ghlâubhân,tenggelam nafasnya tersengal-sengal
abhillâi bhângsa sareng naghârâna,membela bangsa dan negaranya
karè tangkèlongan,terlalu kurus kering
pon bannya' abareyagan,sudah banyak yang berkumpul
tanang kaḍulajâ,kedua belah tangan
embu' emban,inang pengasuh 
lema' ratos,lima ratus
monyena aeng pon molae ekaedhing karana seppena sowara,suara air pun mulai terdengar karena sepinya suara
kèn sè noro'ghun rèng ka sanga,tapi yang ikut hanya sembilan orang
kalèbunna noro'katengnga tasè bi' polisi bârânta,kepala desa ikut ke tengah laut bersama polisi barata
sakèrana tada'rèng sè tao ka rèng kaduwâ jiyâ jhâ aburu,sekiranya tidak ada orang yang tahu pada kedua orang itu bahwa lari
engko' lesso se ru-buruwana,saya lelah karena lari-lari
kembhâng malaṭè bâuna ro'om ngapèncotè,bunga melati putih
kor ekendha',cuma dihendaki
la manabi èparèngè cekcek amonyè,la jika diberi cekcek bunyinya
maju kèntarè ka,ayo antar sana
ding-ngèding landâur jiyâ tako' mon bâdâ dhamar,dengar-dengar landâur itu takut kalau ada lampu
alas ghâpanèka èbhâbhâd sareng brontosèno kadhibi’ân nyopprè kèngèng èyengghunnè sareng tan-tarètanna panḍhâbâ,hutan itu dibabat oleh brontoseno sendirian supaya boleh ditempati oleh saudara-saudaranya pandawa
radèn segara temmo makalowar tombhâk nenggolona,raden segara tiba-tiba mengeluarkan tombak nenggolonya
sè palèng ahèr,yang paling akhir
oca’ celleng se ḍḍ hâ' tamaso’ ḍâ’ oca’,kata hitam manis termasuk ke kata
polana rogi pèssèna solar sè èyangghuy rèsaarèna,karena rugi uang solar yang dipakai kesehariannya
bânnè ghun pegghel masala jiyâ,bukan hanya jengkel masalah itu
sarobâ b·ân,serupa dengan
