Madura,Indonesia
pola aghuna nambâi èlmo,mungkin berguna untuk menambah ilmu
satengnga sèttong,setengah satu
mataarèna ella compet,mataharinya sudah tenggelam
tellor dhâddhâr,telur dadar
apa sè èparènta kèyaè slawi ètekkanè,apa yang diperintah kiai slawi dilaksanakan
dining se mayyit duli ebundu' labun,sedangkan jenazah segera dibungkus kain kafan
apangrasa mon ekebbas lencak ganeko bakal aguli otaba ekarassa mon cebbingnga,merasa kalau diibas ranjang itu akan bergoyang atau dirasakan oleh si bungsu
ngatok salebbâr,mencoba celana
agabay tamennan sabbrang dhubidhing,membuat tambahan rambanan dua ikat
ngancèng paghâr,mengunci pagar
kalèbunna gita' dâteng dâri kotta,kepala desa ternyata datang dari kota
ka polo manca bagiyan mor lao,ke pulau seberang bagian tenggara
teppa'na alako èsosol kaka',sedang bekerja disusul kakak
sè laèn aonggu' ngartè,yang lain mengangguk mengerti
èssèna amonyè bilâ kanca yâ tarètan bhibhidhânna amonyè ,isinya berbunyi bila kawan ya saudara sampirannya berbunyi
ampon kappra è madhurâ,sudah lumrah di madura
cem-macem nyama cem-macem barna ban cem-macem cara kaanggguy ngaolle hasel pello konengnga,bermacam-macam nama bermacam-macam warna dan bermacam-macam cara untuk mendapatkan hasil kerja kerasnya
ta’ ollè ka’ berka’,tidak boleh lari-larian
kapal besèyar,kapal pesiar
rèng-orèng sè dântos neng bâbâna ka'-bhungkaan accem tacengnga' kabbhi,orang-orang yang menunggu di bawah bukit semua terkejut
ngajhȃk alalakon ka sè,mengajak berbuat ke yang
bakto se mangkada,waktu untuk berangkat
banne gunna sanonto satto atamen jagung sanajjan jagung pon ekaballunagi mon reng-oreng,bukan hanya sekarang satto menanam jagung meskipun jagung sudah dijadikan balutan sama orang-orang
ghârâssana landâur la sènga' rèng èkadâtengngè malaèkat sè nabu' nyabâ,dirasanya landâur sudah seperti orang didatangi malaikat pencabut nyawa
masaroju’ rembhȃk sè teppa’,berkumpul berunding yang benar
modha sara,murah sekali
saamponna dhapa' ka toros ganeko egadhiya kata' aga-lattong keya,setelah sampai di tiang itu di sana kodok itu bergelantungan juga
korang pènter,kurang pintar
aneko pon dhapa',ini sudah sampai
sapa rowa,siapa itu
artèna oca’ ta’ kèngèng èngghi panèka ,artinya kata ta’ kèngèng adalah
salak bhâli,salak bali
ngosar pèpè bi' ngèbâ ubâuwân dârâna ajâm,mengusap pipi dan membawa bau-bauan darah ayam
bâto bintang,batu bintang
abdhina èpakon rama monḍuddhâ lanḍu',saya disuruh ayah untuk meminjam cangkul
mara nèko' panghulu,coba berjualan ketua
panghulu ta’ toman lès-kèlès,ketua tidak pernah lambat
