Madura,Indonesia
jhâjhâl nyarè ḍuwâ contona oca’ sè aghânḍhu’ konsonan alos ḍhâmmang,coba cari dua contoh kata yang mengandung konsonan halus ringan
mangkana la'-ella' bakto sarini entar ka bengkona nyae nawa,makanya diam-diam waktu sarini pergi ke rumahnya nyai nawa
settong kennengngan ban settong jaragan,satu tempat dan satu juragan
parabân sontè,perawan suci
enggi ja' rengan padha majar pas dha' ento ta' duli dhapa',iya jangan-jangan sama-sama bayar lalu begit tidak cepat sampai
adha' gi'an cong,belum nak
gheḍḍhâng satonḍun,pisang satu tandan
sè emma'an,yang mana
bâdâ polè sè ècapo'kèlap langsong,ada lagi yang dihinggapi kilat langsung
tanḍhȃ sè ta’ tanto bȃḍȃna,tanda yang tidak tentu adanya
ongghâ ḍhârât,mendarat
malem ganeko malem salasa kalebun,malam itu malam selasa kliwon
sampè' nè'-binè' sè perna amaèn atanya malolo,sampai gadis-gadis yang pernah bermain bertanya melulu
bȃḍȃ buku apa’an sè bȃḍȃ è perpustakaan,ada buku apa saja di perpustakaan
sanajjan ambu ta' lemelle,meskipun berhenti tidak berlama-lama
dhari se paleng semma' ka se paleng jau dhari mayyit,dari yang paling dekat sampai yang paling jauh dari jenazah
mon mosèm nambhȃrȃ’ bȃnnya’ sè namen paḍi jhȃghung tenggȃng tèla obi bȃn samacemma,kalau musim penghujan banyak yang menanam padi jagung singkong ubi dan semacamnya
sè abhâjânga ka mosollana ta'bisa polana tanèyanna bânjir,yang mau salat ke musalanya tidak bisa karena halamannya banjir
nyeyor pon mare eparot,kelapa sudah selesai diparut
mosèm nèmor lanjhâng bânnya’ orèng kakorangan ,musim kemarau panjang banyak orang kekurangan
bâkto sadhâjâna ta’ ngaonèngè,watu semuanya belum mengetahui
tang emba aroko' ngangghuy anṭok,kakekku menghisap rokok dengan memakai alat hisap
sabab mon tadha' se kene' ta' kera badha se,sebab kalau tidak ada yang kecil tidak akan ada yang
sè pantes rèya ghun pangèran lèbât malaèkat izrail,yang pantas ini hanya tuhan lewat malaikat izrail
jhâ' mongkèrè,jangan memungkiri
okara sè aghȃnḍhu’ sèttong maksod,kalimat yang mengandung satu maksud
celleng molos,hitam mulus
asal usul,asal usul
oca’ è bâbâ arèya sè tamaso’ oca’ sè aghuna’aghi konsonan alos iyâ arèya ,kata di bawah ini yang termasuk kata yang menggunakan konsonan halus yaitu
arè kèyamat,hari kiamat
engko' nyangka emma' pagghun entar ka lèstoran,aku menyangka ibu tetap pergi ke restoran
sakejjhâ’ agghi’ aldi ella asalèn kalambhi,sebentar kemudian aldi sudah berganti baju
yâ abâk jhâu kèya kance'en bi'kennenganna tuni,ya agak jauh juga jaraknya dengan tempatnya tuni
polana bhân malem bâdâ sè ngellonè,karena tiap malam ada yang meniduri
bhâdhânna buari ollè koros,badan bu ari jadi kurus
engko'kodu bisa makompol rèng-orèng sè lakar enda' ayobájbâman sè korang satonè' rosagba,aku harus bisa mengumpulkan orang-orang yang memang tidak ingin perubahan yang kurang sedikit rusaknya
bit asma èpon allah sè morbhâ jhâghât,dengan nama allah seru sekalian alam
akasap se nyaman se ta' pas-tagerpas ta' sal-tasengsal,hidup yang nyaman yang tidak susah tidak tersendat
ngèrèng bhu ponapa sè èlakonana kaulâ ,ayo bu apa yang harus dilakukan olehku
apa sè èmaksod tellasan rama,apa yang dimaksud lebaran haji
kalaban onggu'an,dengan sungguh-sungguh
tamba malem sarini tamba katondhu,tambah malam sarini tambah mengantuk
barampa ganeko settong,berapa itu satu
sè ngakan èbuk-patobuk,makan dengan dipuas-puaskan
ngoca' rèng sè andi'tambhâ',ucap orang yang punya tambak
buh palang,wah bahaya
monyèna talbhusân,bunyinya bergedebuk
lor-ngolor jhânjhi,menunda-nunda jajni
tanèyan sè rombu èsapowè ngangghuy po-sapo ,halaman yang kotor disapu menggunakan sapu
ngoca' pan mai ka dhisa laènna,ucap pan mai ke desa lainnya
senga'ngastete gi ,sepertinya dia mengerti
areya gunna mekkere se barampala kose tako' parana#,ini cuma memikirkan yang berapa sudah bosan takut juga
tolèsân tanang,tulisan tangan
amaèn sot-klosodhân,bermain gelincir-gelinciran
saamponna tobuk sè amaèn sadhâjâ lajhu amaèn bhâk-tebbhâghân,setelah puas yang bermain semua lalu bermain tebak-tebakan
kadhȃddhiyȃn kabulȃ sè atokar pas paḍȃ mate kabbhi pas ècathet sopajȃ èkaènga’è,kematian kedua abdi yang bertarung kemudian sama kemudian dicatat supaya teringat
topèng dhâlâng ècèpta korang langkong ,topeng dalang dicipta kurang lebih
koceng ganeko para' mateya,kucing itu hampir mati
ngèrèng karembhâk sareng ghâlipo’na ka’angghuy ajâwâb pètanya è bâbâ panèka kalabân jâwâbhân sè sorop,mari diskusikan dengan kelompok guna untuk menjawab pertanyaan di bawah ini dengan jawaban yang tepat
angos ta' robâ apa,hangus tidak berubah apa-apa
bȃḍȃ bȃrempa lomarè buku sè bȃḍȃ neng perpustakaan sakola’an bȃ’na,ada berapa lemari buku yang ada di perpustakaan sekolahmu
jiyâ ngoca' rang-terrangan ka pa' ustat jhâ' dhibi'en bânnèmalaèkat,dia berkata terang-terangan pada pak ustad bahwa dirinya bukan malaikat
shalawȃt sè ètojjhuwȃghi ḍȃ’ nabi muhammad saw,shalawat yang ditujukan kepada nabi muhammad saw
telapa' tanang,telapak tangan
bâu ro'om aslambherrân,bau wangi bersabar kemana-mana
hem ro'om onggu dika le,hem harum sungguh kamu dik
