Madura,Indonesia
"Jusop ghi' mèkkèr abit, lakar la sengaja.","Jusop masih berpikir lama, memang sudah sengaja."
Oca’ è bâbâ arèya sè tamaso’ oca’ sè aghuna’aghi konsonan alos iyâ arèya ?,Kata di bawah ini yang termasuk kata yang menggunakan konsonan halus yaitu?
Arghâna aghâma lebbi larang ḍâri nyabâ,Harga agama lebih mahal dari nyawa
Tape me' nolae keya.,Tapi kenapa kok mulai juga.
Bâkto sè èsaḍiyâ’âghi Èghârâssa ampon cokop,Waktu yang disediakan saya rasa sudah cukup
Lalake'ganeko tareddhep.,Laki-laki itu kaget.
Saellana Brudin èmellèyaghi ajâm so Embu’na,Setelah Brudin dibelikan ayam oleh Ibunya.
Lalake' ganeko acareta ka tan-taretan ban la-balana.,Laki-laki itu bercerita ke saudaranya dan kerabatnya.
Ta'ngertè maksod dâri oca'en Ebbos.,Tidak mengerti maksud dari perkataan Ebbos.
"Mosèm nèmor lanjhâng, bânnya’ orèng kakorangan ?","Musim kemarau panjang, banyak orang kekurangan?"
Pa nyapa ḍȃ’ ka sè bȃḍȃ/rabu,Tegur sapa kepada yang ada/hadir
Bâḍâ bhârâng asèssè’ tapè bânnè jhuko’.,Ada barang bersisik tapi bukan ikan.
Soro dhuli ojuk.,Disuruh cepat pindah.
"Engko'tako'en Rasat anyèllem neng aèng tasè', dhâddhi bell'.","Aku takutnya Rasat menyelam di air laut, menjadi belut."
Ma' bisa dâyyâ rowa.,Kok bisa begitu itu.
"Kata' gunna atanya,dha' emma jalan se pendha bisa nyamporna'agi aba'na.","Kodok hanya bertanya, ke mana jalan yang terlihat bisa menyempurnakan dirinya."
bhârâng dhâghânganna paju kabbhi,barang dagangannya laris semua
Apalagi barganya kau kasib murab untukku.,Apalagi barganya kau kasib murab untukku.
Kèbȃn apa sè para’ paḍȃ’ȃ moso ajȃm carana ngobu?,hewan apa yang hampir sama dengan ayam cara merawatnya?
Ba sajjana.,loh maunya.
Ekaedhing monyena guba.,Terdengar bunyi gubug.
