NO,Tanggal,Kurs
1,10/1/2024 12:00:00 AM,15204
2,9/30/2024 12:00:00 AM,15144
3,9/27/2024 12:00:00 AM,15138
4,9/26/2024 12:00:00 AM,15171
5,9/25/2024 12:00:00 AM,15092
6,9/24/2024 12:00:00 AM,15186
7,9/23/2024 12:00:00 AM,15191
8,9/20/2024 12:00:00 AM,15100
9,9/19/2024 12:00:00 AM,15287
10,9/18/2024 12:00:00 AM,15350
11,9/17/2024 12:00:00 AM,15338
12,9/13/2024 12:00:00 AM,15405
13,9/12/2024 12:00:00 AM,15421
14,9/11/2024 12:00:00 AM,15415
15,9/10/2024 12:00:00 AM,15447
16,9/9/2024 12:00:00 AM,15446
17,9/6/2024 12:00:00 AM,15372
18,9/5/2024 12:00:00 AM,15410
19,9/4/2024 12:00:00 AM,15490
20,9/3/2024 12:00:00 AM,15557
21,9/2/2024 12:00:00 AM,15536
22,8/30/2024 12:00:00 AM,15473
23,8/29/2024 12:00:00 AM,15409
24,8/28/2024 12:00:00 AM,15476
25,8/27/2024 12:00:00 AM,15509
26,8/26/2024 12:00:00 AM,15380
27,8/23/2024 12:00:00 AM,15554
28,8/22/2024 12:00:00 AM,15579
29,8/21/2024 12:00:00 AM,15456
30,8/20/2024 12:00:00 AM,15480
31,8/19/2024 12:00:00 AM,15591
32,8/16/2024 12:00:00 AM,15716
33,8/15/2024 12:00:00 AM,15687
34,8/14/2024 12:00:00 AM,15691
35,8/13/2024 12:00:00 AM,15885
36,8/12/2024 12:00:00 AM,15963
37,8/9/2024 12:00:00 AM,15914
38,8/8/2024 12:00:00 AM,15952
39,8/7/2024 12:00:00 AM,16100
40,8/6/2024 12:00:00 AM,16183
41,8/5/2024 12:00:00 AM,16154
42,8/2/2024 12:00:00 AM,16234
43,8/1/2024 12:00:00 AM,16243
44,7/31/2024 12:00:00 AM,16294
45,7/30/2024 12:00:00 AM,16320
46,7/29/2024 12:00:00 AM,16286
47,7/26/2024 12:00:00 AM,16294
48,7/25/2024 12:00:00 AM,16268
49,7/24/2024 12:00:00 AM,16224
50,7/23/2024 12:00:00 AM,16204
51,7/22/2024 12:00:00 AM,16228
52,7/19/2024 12:00:00 AM,16199
53,7/18/2024 12:00:00 AM,16160
54,7/17/2024 12:00:00 AM,16129
55,7/16/2024 12:00:00 AM,16203
56,7/15/2024 12:00:00 AM,16174
57,7/12/2024 12:00:00 AM,16154
58,7/11/2024 12:00:00 AM,16200
59,7/10/2024 12:00:00 AM,16256
60,7/9/2024 12:00:00 AM,16281
61,7/8/2024 12:00:00 AM,16265
62,7/5/2024 12:00:00 AM,16312
63,7/4/2024 12:00:00 AM,16341
64,7/3/2024 12:00:00 AM,16387
65,7/2/2024 12:00:00 AM,16384
66,7/1/2024 12:00:00 AM,16355
67,6/28/2024 12:00:00 AM,16394
68,6/27/2024 12:00:00 AM,16421
69,6/26/2024 12:00:00 AM,16435
70,6/25/2024 12:00:00 AM,16379
71,6/24/2024 12:00:00 AM,16431
72,6/21/2024 12:00:00 AM,16458
73,6/20/2024 12:00:00 AM,16420
74,6/19/2024 12:00:00 AM,16368
75,6/14/2024 12:00:00 AM,16374
