Tanggal,Kurs
10/1/2024 12:00:00 AM,15204
9/30/2024 12:00:00 AM,15144
9/27/2024 12:00:00 AM,15138
9/26/2024 12:00:00 AM,15171
9/25/2024 12:00:00 AM,15092
9/24/2024 12:00:00 AM,15186
9/23/2024 12:00:00 AM,15191
9/20/2024 12:00:00 AM,15100
9/19/2024 12:00:00 AM,15287
9/18/2024 12:00:00 AM,15350
9/17/2024 12:00:00 AM,15338
9/13/2024 12:00:00 AM,15405
9/12/2024 12:00:00 AM,15421
9/11/2024 12:00:00 AM,15415
9/10/2024 12:00:00 AM,15447
9/9/2024 12:00:00 AM,15446
9/6/2024 12:00:00 AM,15372
9/5/2024 12:00:00 AM,15410
9/4/2024 12:00:00 AM,15490
9/3/2024 12:00:00 AM,15557
9/2/2024 12:00:00 AM,15536
8/30/2024 12:00:00 AM,15473
8/29/2024 12:00:00 AM,15409
8/28/2024 12:00:00 AM,15476
8/27/2024 12:00:00 AM,15509
8/26/2024 12:00:00 AM,15380
8/23/2024 12:00:00 AM,15554
8/22/2024 12:00:00 AM,15579
8/21/2024 12:00:00 AM,15456
8/20/2024 12:00:00 AM,15480
8/19/2024 12:00:00 AM,15591
8/16/2024 12:00:00 AM,15716
8/15/2024 12:00:00 AM,15687
8/14/2024 12:00:00 AM,15691
8/13/2024 12:00:00 AM,15885
8/12/2024 12:00:00 AM,15963
8/9/2024 12:00:00 AM,15914
8/8/2024 12:00:00 AM,15952
8/7/2024 12:00:00 AM,16100
8/6/2024 12:00:00 AM,16183
8/5/2024 12:00:00 AM,16154
8/2/2024 12:00:00 AM,16234
8/1/2024 12:00:00 AM,16243
7/31/2024 12:00:00 AM,16294
7/30/2024 12:00:00 AM,16320
7/29/2024 12:00:00 AM,16286
7/26/2024 12:00:00 AM,16294
7/25/2024 12:00:00 AM,16268
7/24/2024 12:00:00 AM,16224
7/23/2024 12:00:00 AM,16204
7/22/2024 12:00:00 AM,16228
7/19/2024 12:00:00 AM,16199
7/18/2024 12:00:00 AM,16160
7/17/2024 12:00:00 AM,16129
7/16/2024 12:00:00 AM,16203
7/15/2024 12:00:00 AM,16174
7/12/2024 12:00:00 AM,16154
7/11/2024 12:00:00 AM,16200
7/10/2024 12:00:00 AM,16256
7/9/2024 12:00:00 AM,16281
7/8/2024 12:00:00 AM,16265
7/5/2024 12:00:00 AM,16312
7/4/2024 12:00:00 AM,16341
7/3/2024 12:00:00 AM,16387
7/2/2024 12:00:00 AM,16384
7/1/2024 12:00:00 AM,16355
6/28/2024 12:00:00 AM,16394
6/27/2024 12:00:00 AM,16421
6/26/2024 12:00:00 AM,16435
6/25/2024 12:00:00 AM,16379
6/24/2024 12:00:00 AM,16431
6/21/2024 12:00:00 AM,16458
6/20/2024 12:00:00 AM,16420
6/19/2024 12:00:00 AM,16368
6/14/2024 12:00:00 AM,16374
6/13/2024 12:00:00 AM,16286
6/12/2024 12:00:00 AM,16297
6/11/2024 12:00:00 AM,16295
6/10/2024 12:00:00 AM,16290
6/7/2024 12:00:00 AM,16218
6/6/2024 12:00:00 AM,16279
6/5/2024 12:00:00 AM,16282
6/4/2024 12:00:00 AM,16220
6/3/2024 12:00:00 AM,16225
5/31/2024 12:00:00 AM,16251
5/30/2024 12:00:00 AM,16253
5/29/2024 12:00:00 AM,16160
5/28/2024 12:00:00 AM,16095
5/27/2024 12:00:00 AM,16064
5/22/2024 12:00:00 AM,15995
5/21/2024 12:00:00 AM,16024
5/20/2024 12:00:00 AM,15980
5/17/2024 12:00:00 AM,15978
5/16/2024 12:00:00 AM,15944
5/15/2024 12:00:00 AM,16070
5/14/2024 12:00:00 AM,16131
5/13/2024 12:00:00 AM,16085
5/8/2024 12:00:00 AM,16081
5/7/2024 12:00:00 AM,16054
5/6/2024 12:00:00 AM,16025
5/3/2024 12:00:00 AM,16094
5/2/2024 12:00:00 AM,16202
4/30/2024 12:00:00 AM,16276
4/29/2024 12:00:00 AM,16249
4/26/2024 12:00:00 AM,16222
4/25/2024 12:00:00 AM,16208
4/24/2024 12:00:00 AM,16161
4/23/2024 12:00:00 AM,16244
4/22/2024 12:00:00 AM,16224
4/19/2024 12:00:00 AM,16280
4/18/2024 12:00:00 AM,16177
4/17/2024 12:00:00 AM,16240
4/16/2024 12:00:00 AM,16176
4/5/2024 12:00:00 AM,15873
4/4/2024 12:00:00 AM,15907
4/3/2024 12:00:00 AM,15923
4/2/2024 12:00:00 AM,15934
4/1/2024 12:00:00 AM,15909
3/28/2024 12:00:00 AM,15873
3/27/2024 12:00:00 AM,15853
3/26/2024 12:00:00 AM,15797
3/25/2024 12:00:00 AM,15795
3/22/2024 12:00:00 AM,15773
3/21/2024 12:00:00 AM,15662
3/20/2024 12:00:00 AM,15727
3/19/2024 12:00:00 AM,15712
3/18/2024 12:00:00 AM,15672
3/15/2024 12:00:00 AM,15624
3/14/2024 12:00:00 AM,15582
3/13/2024 12:00:00 AM,15576
3/8/2024 12:00:00 AM,15603
3/7/2024 12:00:00 AM,15658
3/6/2024 12:00:00 AM,15723
3/5/2024 12:00:00 AM,15756
3/4/2024 12:00:00 AM,15723
3/1/2024 12:00:00 AM,15696
2/29/2024 12:00:00 AM,15715
2/28/2024 12:00:00 AM,15673
2/27/2024 12:00:00 AM,15655
2/26/2024 12:00:00 AM,15635
2/23/2024 12:00:00 AM,15589
2/22/2024 12:00:00 AM,15630
2/21/2024 12:00:00 AM,15658
2/20/2024 12:00:00 AM,15659
2/19/2024 12:00:00 AM,15630
2/16/2024 12:00:00 AM,15654
2/15/2024 12:00:00 AM,15606
2/13/2024 12:00:00 AM,15585
2/12/2024 12:00:00 AM,15612
2/7/2024 12:00:00 AM,15685
2/6/2024 12:00:00 AM,15734
2/5/2024 12:00:00 AM,15705
2/2/2024 12:00:00 AM,15688
2/1/2024 12:00:00 AM,15775
1/31/2024 12:00:00 AM,15803
1/30/2024 12:00:00 AM,15796
1/29/2024 12:00:00 AM,15825
1/26/2024 12:00:00 AM,15829
1/25/2024 12:00:00 AM,15767
1/24/2024 12:00:00 AM,15719
1/23/2024 12:00:00 AM,15656
1/22/2024 12:00:00 AM,15627
1/19/2024 12:00:00 AM,15628
1/18/2024 12:00:00 AM,15630
1/17/2024 12:00:00 AM,15639
1/16/2024 12:00:00 AM,15592
1/15/2024 12:00:00 AM,15555
1/12/2024 12:00:00 AM,15559
1/11/2024 12:00:00 AM,15558
1/10/2024 12:00:00 AM,15568
