Tanggal,Kurs
2024-10-01,15204
2024-09-30,15144
2024-09-27,15138
2024-09-26,15171
2024-09-25,15092
2024-09-24,15186
2024-09-23,15191
2024-09-20,15100
2024-09-19,15287
2024-09-18,15350
2024-09-17,15338
2024-09-13,15405
2024-09-12,15421
2024-09-11,15415
2024-09-10,15447
2024-09-09,15446
2024-09-06,15372
2024-09-05,15410
2024-09-04,15490
2024-09-03,15557
2024-09-02,15536
2024-08-30,15473
2024-08-29,15409
2024-08-28,15476
2024-08-27,15509
2024-08-26,15380
2024-08-23,15554
2024-08-22,15579
2024-08-21,15456
2024-08-20,15480
2024-08-19,15591
2024-08-16,15716
2024-08-15,15687
2024-08-14,15691
2024-08-13,15885
2024-08-12,15963
2024-08-09,15914
2024-08-08,15952
2024-08-07,16100
2024-08-06,16183
2024-08-05,16154
2024-08-02,16234
2024-08-01,16243
2024-07-31,16294
2024-07-30,16320
2024-07-29,16286
2024-07-26,16294
2024-07-25,16268
2024-07-24,16224
2024-07-23,16204
2024-07-22,16228
2024-07-19,16199
2024-07-18,16160
2024-07-17,16129
2024-07-16,16203
2024-07-15,16174
2024-07-12,16154
2024-07-11,16200
2024-07-10,16256
2024-07-09,16281
2024-07-08,16265
2024-07-05,16312
2024-07-04,16341
2024-07-03,16387
2024-07-02,16384
2024-07-01,16355
2024-06-28,16394
2024-06-27,16421
2024-06-26,16435
2024-06-25,16379
2024-06-24,16431
2024-06-21,16458
2024-06-20,16420
2024-06-19,16368
2024-06-14,16374
2024-06-13,16286
2024-06-12,16297
2024-06-11,16295
2024-06-10,16290
2024-06-07,16218
2024-06-06,16279
2024-06-05,16282
2024-06-04,16220
2024-06-03,16225
2024-05-31,16251
2024-05-30,16253
2024-05-29,16160
2024-05-28,16095
2024-05-27,16064
2024-05-22,15995
2024-05-21,16024
2024-05-20,15980
2024-05-17,15978
2024-05-16,15944
2024-05-15,16070
2024-05-14,16131
2024-05-13,16085
2024-05-08,16081
2024-05-07,16054
2024-05-06,16025
2024-05-03,16094
2024-05-02,16202
2024-04-30,16276
2024-04-29,16249
2024-04-26,16222
2024-04-25,16208
2024-04-24,16161
2024-04-23,16244
2024-04-22,16224
2024-04-19,16280
2024-04-18,16177
2024-04-17,16240
2024-04-16,16176
2024-04-05,15873
2024-04-04,15907
2024-04-03,15923
2024-04-02,15934
2024-04-01,15909
2024-03-28,15873
2024-03-27,15853
2024-03-26,15797
2024-03-25,15795
2024-03-22,15773
2024-03-21,15662
2024-03-20,15727
2024-03-19,15712
2024-03-18,15672
2024-03-15,15624
2024-03-14,15582
2024-03-13,15576
2024-03-08,15603
2024-03-07,15658
2024-03-06,15723
2024-03-05,15756
2024-03-04,15723
2024-03-01,15696
2024-02-29,15715
2024-02-28,15673
2024-02-27,15655
2024-02-26,15635
2024-02-23,15589
2024-02-22,15630
2024-02-21,15658
2024-02-20,15659
2024-02-19,15630
2024-02-16,15654
2024-02-15,15606
2024-02-13,15585
2024-02-12,15612
2024-02-07,15685
2024-02-06,15734
2024-02-05,15705
2024-02-02,15688
2024-02-01,15775
2024-01-31,15803
2024-01-30,15796
2024-01-29,15825
2024-01-26,15829
2024-01-25,15767
2024-01-24,15719
2024-01-23,15656
2024-01-22,15627
2024-01-19,15628
2024-01-18,15630
2024-01-17,15639
2024-01-16,15592
2024-01-15,15555
2024-01-12,15559
2024-01-11,15558
2024-01-10,15568
2024-01-09,15518
2024-01-08,15522
2024-01-05,15518
2024-01-04,15525
2024-01-03,15495
2024-01-02,15473
2023-12-29,15439
2023-12-28,15416
2023-12-27,15414
2023-12-22,15489
2023-12-21,15533
2023-12-20,15512
2023-12-19,15506
2023-12-18,15516
2023-12-15,15503
2023-12-14,15493
2023-12-13,15629
2023-12-12,15631
2023-12-11,15614
2023-12-08,15500
2023-12-07,15536
2023-12-06,15504
2023-12-05,15504
2023-12-04,15446
2023-12-01,15524
2023-11-30,15484
2023-11-29,15384
2023-11-28,15450
2023-11-27,15527
2023-11-24,15587
2023-11-23,15593
2023-11-22,15584
2023-11-21,15436
2023-11-20,15419
2023-11-17,15504
2023-11-16,15595
2023-11-15,15503
2023-11-14,15699
2023-11-13,15713
2023-11-10,15693
2023-11-09,15649
2023-11-08,15629
2023-11-07,15593
2023-11-06,15550
2023-11-03,15771
2023-11-02,15861
2023-11-01,15946
2023-10-31,15897
2023-10-30,15916
2023-10-27,15941
2023-10-26,15933
2023-10-25,15871
2023-10-24,15869
2023-10-23,15943
2023-10-20,15856
2023-10-19,15838
2023-10-18,15731
2023-10-17,15718
2023-10-16,15716
2023-10-13,15709
2023-10-12,15702
2023-10-11,15710
2023-10-10,15708
2023-10-09,15675
2023-10-06,15628
2023-10-05,15601
2023-10-04,15636
2023-10-03,15600
2023-10-02,15519
2023-09-29,15487
2023-09-27,15526
2023-09-26,15464
2023-09-25,15399
2023-09-22,15383
2023-09-21,15397
2023-09-20,15396
2023-09-19,15381
2023-09-18,15373
2023-09-15,15367
2023-09-14,15357
2023-09-13,15367
2023-09-12,15344
2023-09-11,15352
2023-09-08,15341
2023-09-07,15334
2023-09-06,15307
2023-09-05,15260
2023-09-04,15247
2023-09-01,15252
2023-08-31,15237
2023-08-30,15239
2023-08-29,15263
2023-08-28,15294
2023-08-25,15297
2023-08-24,15253
2023-08-23,15319
2023-08-22,15326
2023-08-21,15329
2023-08-18,15308
2023-08-16,15308
2023-08-15,15346
2023-08-14,15323
2023-08-11,15225
2023-08-10,15204
2023-08-09,15206
2023-08-08,15229
2023-08-07,15178
2023-08-04,15168
2023-08-03,15198
2023-08-02,15171
2023-08-01,15117
2023-07-31,15092
2023-07-28,15083
2023-07-27,15003
2023-07-26,15032
2023-07-25,15007
2023-07-24,15028
2023-07-21,15026
2023-07-20,14991
2023-07-18,14994
2023-07-17,15007
2023-07-14,14945
2023-07-13,14978
2023-07-12,15084
2023-07-11,15162
2023-07-10,15192
2023-07-07,15136
2023-07-06,15062
2023-07-05,15013
2023-07-04,15018
2023-07-03,15034
2023-06-27,15000
2023-06-26,15026
2023-06-23,14998
2023-06-22,14918
2023-06-21,14982
2023-06-20,15040
2023-06-19,14994
2023-06-16,14945
2023-06-15,14943
2023-06-14,14895
2023-06-13,14868
2023-06-12,14874
2023-06-09,14853
2023-06-08,14903
2023-06-07,14875
2023-06-06,14839
2023-06-05,14888
2023-05-31,15003
2023-05-30,14969
2023-05-29,14973
2023-05-26,14959
2023-05-25,14952
2023-05-24,14905
2023-05-23,14878
2023-05-22,14897
2023-05-19,14936
2023-05-17,14875
2023-05-16,14810
2023-05-15,14812
2023-05-12,14752
2023-05-11,14722
2023-05-10,14746
2023-05-09,14757
2023-05-08,14709
2023-05-05,14674
2023-05-04,14632
2023-05-03,14706
2023-05-02,14703
2023-04-28,14661
2023-04-27,14751
2023-04-26,14882
2023-04-18,14855
2023-04-17,14773
2023-04-14,14666
2023-04-13,14792
2023-04-12,14866
2023-04-11,14888
2023-04-10,14905
2023-04-06,14943
2023-04-05,14933
2023-04-04,14913
2023-04-03,14990
2023-03-31,14977
2023-03-30,15062
2023-03-29,15094
2023-03-28,15088
2023-03-27,15174
2023-03-24,15189
2023-03-21,15349
2023-03-20,15372
2023-03-17,15364
2023-03-16,15418
2023-03-15,15365
2023-03-14,15380
2023-03-13,15374
2023-03-10,15468
2023-03-09,15438
2023-03-08,15451
2023-03-07,15359
2023-03-06,15301
2023-03-03,15306
2023-03-02,15273
2023-03-01,15250
2023-02-28,15240
2023-02-27,15274
2023-02-24,15216
2023-02-23,15187
2023-02-22,15218
