score,content,sentimen
5,seru bgt sampe bikin bahagia ges cobain deh seru buat yg darah nyah kurang juga bisa di naikan dengan main game ini,bukan keluhan
5,good,bukan keluhan
5,game ini keren dan musuh nya gampang²,bukan keluhan
5,"GAME PERUSAK FAIR PLAY MOBA PALING BRUTAL, OTAK MATCH MARKING CURANGNYA OVER LOAD , GAME TIDAK ADA ETIKA BERKOMITEN. PERMBERI SARAN AKAN DI INCAR DENGAN DARK SYSTEM. MOBA TIDAK BERKWALITAS DALAM PERMAINAN KECURANGAN DEMI KECURANGAN SYSTEM ADA DI MOBA INI. GAME MOBA PENUH PLAYER TOXIC & JOKI",bukan keluhan
5,cobalah di perbaiki masa lagi main pas udah 28% malah keluar sendiri itu terus sampaii gua seter ilang lah kerdit sekor cobalah di perbaikin,bukan keluhan
5,lagu nya enak bgt😆(^.^),bukan keluhan
5,game ini sangat seru dan ini bisa dimainkan online atau offline,bukan keluhan
5,bagus,bukan keluhan
5,bagus,bukan keluhan
5,pokoknya mantap,bukan keluhan
5,mantap,bukan keluhan
5,mobile legends ini selalu baik selalu di kasih skin gratis skin basic skin elit skin special skin epic skin colector bahkan skin legend,bukan keluhan
5,game ini sangat seru dan Hero nya sangat bagus apa lagi Aldous behh mantep pokoknya,bukan keluhan
5,"game yang menarik, dan sangat menguji mental",bukan keluhan
5,gooooddddd gameeee broooo,bukan keluhan
5,Game nya sangat bagus saya sangat suka game the best,bukan keluhan
5,Cbklh jngn as dark sistem pasti game nya bags,bukan keluhan
5,karna pengen hadiayah mlbb,bukan keluhan
5,Sangat bagus,bukan keluhan
5,godd jangan losestreak,bukan keluhan
5,sangat bagus game ini jadi suka,bukan keluhan
5,game nya keren🔥,bukan keluhan
5,"sangat bagus, dan hebat",bukan keluhan
5,tolong dikurangkan para bocil,bukan keluhan
5,oke bangetyyy,bukan keluhan
5,hp aku ngelek,bukan keluhan
5,gema yang bagus lima bintang untuk gema ini fantasi mantapp😁😁😁😁,bukan keluhan
5,oke,bukan keluhan
5,game yang menarik untuk di mainkan,bukan keluhan
5,bagus,bukan keluhan
5,mantapl,bukan keluhan
5,tolong kasih tim yg jago dong Monton pliss monton,bukan keluhan
5,sorry ya min yg tadi bercanda emosi gw gk tercontrol,bukan keluhan
5,gem ya bagus tapi setiap gua main 4 kali gua menang dan setelah gua main 4 kali gua di kasih derak sistem yang pas di gem 5 tolong lah di benerin sistem ya monton😭,bukan keluhan
5,moonton kalau aku main enggak dikasih tim yang bagus aku bakal kasih bintang 1,bukan keluhan
5,game bgus,bukan keluhan
