Date,Open,High,Low,Close,Adj Close,Volume
Apr 10, 2020,0.83,1.31,0.69,0.95,0.95,87364276
Apr 11, 2020,0.95,1.05,0.77,0.78,0.78,43862444
Apr 12, 2020,0.79,0.96,0.76,0.88,0.88,38736897
Apr 13, 2020,0.89,0.89,0.77,0.78,0.78,18211285
Apr 14, 2020,0.78,0.8,0.63,0.66,0.66,16747614
Apr 15, 2020,0.67,0.7,0.62,0.65,0.65,13075275
Apr 16, 2020,0.63,0.77,0.63,0.69,0.69,21346031
Apr 17, 2020,0.69,0.72,0.66,0.66,0.66,9870810
Apr 18, 2020,0.66,0.72,0.66,0.68,0.68,9782112
Apr 19, 2020,0.68,0.68,0.6,0.61,0.61,9289670
Apr 20, 2020,0.61,0.64,0.52,0.54,0.54,8342616
Apr 21, 2020,0.54,0.6,0.51,0.59,0.59,9711507
Apr 22, 2020,0.58,0.71,0.57,0.69,0.69,18828400
Apr 23, 2020,0.69,0.7,0.6,0.63,0.63,13485271
Apr 24, 2020,0.62,0.67,0.61,0.63,0.63,9064190
Apr 25, 2020,0.63,0.67,0.62,0.64,0.64,7311905
Apr 26, 2020,0.65,0.69,0.63,0.64,0.64,8320760
Apr 27, 2020,0.64,0.66,0.56,0.57,0.57,7406934
Apr 28, 2020,0.58,0.69,0.57,0.66,0.66,7470201
Apr 29, 2020,0.66,0.78,0.66,0.75,0.75,8801144
Apr 30, 2020,0.75,0.8,0.69,0.69,0.69,5016892
May 01, 2020,0.69,0.74,0.69,0.73,0.73,4164272
May 02, 2020,0.73,0.75,0.71,0.72,0.72,3441356
May 03, 2020,0.71,0.73,0.66,0.68,0.68,3328344
May 04, 2020,0.68,0.71,0.62,0.67,0.67,3443698
May 05, 2020,0.67,0.69,0.63,0.64,0.64,2847469
May 06, 2020,0.64,0.67,0.62,0.62,0.62,2677563
May 07, 2020,0.62,0.63,0.57,0.61,0.61,3355830
May 08, 2020,0.61,0.64,0.59,0.6,0.6,2488195
May 09, 2020,0.6,0.63,0.59,0.6,0.6,2128503
May 10, 2020,0.6,0.61,0.51,0.54,0.54,2327581
May 11, 2020,0.54,0.57,0.51,0.52,0.52,2098481
May 12, 2020,0.51,0.56,0.51,0.54,0.54,2198625
May 13, 2020,0.54,0.56,0.52,0.55,0.55,2326446
May 14, 2020,0.55,0.58,0.55,0.57,0.57,2047897
May 15, 2020,0.57,0.57,0.55,0.56,0.56,1850070
May 16, 2020,0.56,0.61,0.55,0.6,0.6,2300409
May 17, 2020,0.6,0.64,0.59,0.61,0.61,2936428
May 18, 2020,0.61,0.67,0.61,0.65,0.65,3314359
May 19, 2020,0.65,0.65,0.61,0.62,0.62,2380263
May 20, 2020,0.62,0.63,0.58,0.58,0.58,2302926
May 21, 2020,0.58,0.61,0.54,0.61,0.61,2863017
May 22, 2020,0.61,0.68,0.58,0.64,0.64,3411419
May 23, 2020,0.64,0.64,0.59,0.61,0.61,2638524
May 24, 2020,0.61,0.61,0.55,0.55,0.55,2786816
May 25, 2020,0.55,0.65,0.54,0.6,0.6,4509580
May 26, 2020,0.6,0.61,0.57,0.57,0.57,2689697
